arch,level,scale,single_tokens,cum_tokens,tokens_used,method,acc_mean,acc_std,ece_mean,ece_std,ada_ece_mean,ada_ece_std,brier_mean,brier_std,auroc_mean,auroc_std,method_order
m3,1,1,1,1,1,Naive Confidence (NC),37.535714285714285,0.0,36.01390743662164,0.26965238644702244,36.0103201230463,0.384054737561941,0.35548250587961266,0.002423338519627523,0.7721618333599002,0.010131913791710086,0
m3,1,1,1,1,1,Temperature Scaling (TS),37.535714285714285,0.0,24.555544927865924,0.13598908996931114,24.87333305734459,0.31409748779603347,0.22932888085108427,0.0015946009480569483,0.7721618333599002,0.010131913791710086,1
m3,1,1,1,1,1,Platt Scaling (1D),37.535714285714285,0.0,6.15325709003273,0.4772553816598874,6.830292172604821,0.29042113891666876,0.14481457897918115,0.0012624431612653496,0.7721618333599002,0.010131913791710086,2
m3,1,1,1,1,1,Trajectory Platt (5D),37.535714285714285,0.0,6.148016873110984,0.47566769556411176,6.838719784685445,0.2937519093654283,0.1448306306506904,0.0012560341071048277,0.7721614213234926,0.010131440238605864,3
m3,2,9,9,10,9,Naive Confidence (NC),41.92857142857143,0.0,34.79268644854435,0.32239240351316334,34.684344573991055,0.36690647660330833,0.34784464904308765,0.004094548082049411,0.7760081723783395,0.0024008780155241514,0
m3,2,9,9,10,9,Temperature Scaling (TS),41.92857142857143,0.0,22.70328483812075,0.25766850787170853,23.08456089384969,0.40017927372740103,0.22252971859267684,0.003086615214842407,0.7760081723783395,0.0024008780155241514,1
m3,2,9,9,10,9,Platt Scaling (1D),41.92857142857143,0.0,5.414008133935286,0.36176440136904126,6.241923788541639,0.3546122994587331,0.1436701417318695,0.003260039326655565,0.7760081723783395,0.0024008780155241514,2
m3,2,9,9,10,10,Trajectory Platt (5D),41.92857142857143,0.0,5.1206215634247725,0.3458421079858504,5.708137456851962,0.29948063112973644,0.14216136792746897,0.0030433840146984843,0.7805096638904578,0.0025288270637369103,3
m3,3,36,36,46,36,Naive Confidence (NC),43.857142857142854,0.0,34.44745947727112,0.5052685375947104,34.331960386651495,0.5098415859100434,0.34160013787598764,0.006297787491194681,0.776500283555595,0.015808573721279133,0
m3,3,36,36,46,36,Temperature Scaling (TS),43.857142857142854,0.0,21.891012930536405,0.36322256644991974,22.436513918759168,0.5207582999292685,0.21809790299875886,0.003580422163821689,0.776500283555595,0.015808573721279133,1
m3,3,36,36,46,36,Platt Scaling (1D),43.857142857142854,0.0,5.394896043599923,0.4760018191242637,6.282172734282122,0.4288745925525333,0.14316593242430495,0.003445250882577562,0.776500283555595,0.015808573721279133,2
m3,3,36,36,46,46,Trajectory Platt (5D),43.857142857142854,0.0,5.402259302255698,0.2829323137485553,6.192784647996139,0.3718684877544171,0.142163014409641,0.0036921622881813643,0.7808322415254085,0.012751210866572979,3
m3,4,144,144,190,144,Naive Confidence (NC),44.67857142857143,0.0,34.186178744750336,0.23840166680116867,34.08995135415541,0.29056648427181164,0.343836226608566,0.0025059798879983807,0.7817889198742747,0.011742774085795776,0
m3,4,144,144,190,144,Temperature Scaling (TS),44.67857142857143,0.0,21.325044337072775,0.11936346576254964,21.98274243898954,0.26474870073613377,0.2175553778038386,0.0021063391021080248,0.7817889198742747,0.011742774085795776,1
m3,4,144,144,190,144,Platt Scaling (1D),44.67857142857143,0.0,5.422172875589449,0.4653771863914407,6.208770459812021,0.43993622044930697,0.14437594674798376,0.002484037637011544,0.7817889198742747,0.011742774085795776,2
m3,4,144,144,190,190,Trajectory Platt (5D),44.67857142857143,0.0,5.351932753543537,0.42103283370313327,5.705305758966799,0.3933980405260469,0.14303426043486547,0.002290707421376212,0.7919580721744983,0.008767883054903138,3
m3,5,576,576,766,576,Naive Confidence (NC),44.464285714285715,0.0,34.99505512470676,0.5704186605157799,34.93662430689821,0.5774223452268975,0.34666489096547215,0.003771826321319157,0.7733703494971731,0.007672718266162209,0
m3,5,576,576,766,576,Temperature Scaling (TS),44.464285714285715,0.0,21.55231021597107,0.378454598942245,22.300636435203906,0.5776982540402975,0.21723507916244275,0.0011894043208820607,0.7733703494971731,0.007672718266162209,1
m3,5,576,576,766,576,Platt Scaling (1D),44.464285714285715,0.0,5.472915588290811,0.5267992888028924,6.394785369517002,0.8568598151337202,0.14431227959963205,0.0009472378399748813,0.7733703494971731,0.007672718266162209,2
m3,5,576,576,766,766,Trajectory Platt (5D),44.464285714285715,0.0,5.255128952084592,0.3992122539537643,5.860446563451634,0.3024072892675308,0.143113009941434,0.0011224386858642553,0.7849577212822709,0.009946956118579315,3
