dataset,arch,level,scale,single_tokens,cum_tokens,tokens_used,method,ece_percent_mean,ece_percent_std,adaptive_ece_percent_mean,adaptive_ece_percent_std,brier_mean,brier_std,auroc_mean,auroc_std
ai2d,m3,1,1,1,1,1,Naive Confidence (NC),44.49119429215522,0.006472074713042325,44.49119429215523,0.00647207471304788,0.44489697614623197,0.0001193649076044987,0.6682812025508654,0.025383862334947747
ai2d,m3,1,1,1,1,1,Platt Scaling (1D),6.321443642857485,1.910237113947515,8.303592593391265,1.2246569200958146,0.2295305070818785,0.004056591909468654,0.6682812025508654,0.025383862334947747
ai2d,m3,1,1,1,1,1,Temperature Scaling (TS),12.55225503268432,1.951482728485623,14.99298241490705,1.0943036704314395,0.25328225406293353,0.0006597140425317041,0.6682812025508654,0.025383862334947747
ai2d,m3,1,1,1,1,1,Trajectory Platt (5D),6.383808570727704,1.8481615713571347,8.31023779064417,1.232057062418553,0.22953682562945196,0.00404368295725781,0.6682812025508654,0.025383862334947747
ai2d,m3,2,9,9,10,9,Naive Confidence (NC),43.74756277100643,0.0015921070005353217,43.747562771006436,0.0015921070005394664,0.4374612677759232,3.151376348226415e-05,0.6508520634920635,0.005674745741354822
ai2d,m3,2,9,9,10,9,Platt Scaling (1D),4.869402804207572,1.2369474659942916,7.150396979783425,0.8674842124335238,0.23105567129078852,0.002214415570151815,0.6508520634920635,0.005674745741354822
ai2d,m3,2,9,9,10,9,Temperature Scaling (TS),10.276144531690726,0.14340484041259285,13.7473046337732,0.463618367581225,0.25176758337817773,0.0006128930080024884,0.6508520634920635,0.005674745741354822
ai2d,m3,2,9,9,10,10,Trajectory Platt (5D),6.7440855130553246,1.086384656317801,8.819845046103001,0.924370889897453,0.22693233506626775,0.0021679543024038473,0.6732114285714286,0.012145411413062267
ai2d,m3,3,36,36,46,36,Naive Confidence (NC),42.995655335934025,0.005672960252317411,42.99565533593403,0.005672960252318447,0.42992858544202245,0.00010625369099619516,0.6281976744186046,0.022820328991806287
ai2d,m3,3,36,36,46,36,Platt Scaling (1D),6.134396902308751,1.0808665398674404,8.142295648695146,1.0987705496430649,0.23553609525452096,0.006398109867608059,0.6281976744186046,0.022820328991806287
ai2d,m3,3,36,36,46,36,Temperature Scaling (TS),9.642935335479489,0.15669845862045098,12.730381181959924,1.1551913838996697,0.25018921117033666,0.0009016075146959903,0.6281976744186046,0.022820328991806287
ai2d,m3,3,36,36,46,46,Trajectory Platt (5D),6.888535575568676,1.0005443675459402,9.245858152210712,2.1333753293546414,0.23077042968941183,0.006513072587712494,0.6513183394532843,0.02023105387396815
ai2d,m3,4,144,144,190,144,Naive Confidence (NC),43.49757872146512,0.0009522423075438654,43.4975787214651,0.0009522423075466043,0.4349627678570055,1.687514925479547e-05,0.6553809378496591,0.01601608435189899
ai2d,m3,4,144,144,190,144,Platt Scaling (1D),5.576123994681699,1.9099734951248595,7.73767420202131,1.0996959940415,0.2290179805610975,0.0033030276866163094,0.6553809378496591,0.01601608435189899
ai2d,m3,4,144,144,190,144,Temperature Scaling (TS),10.402839328613798,0.4532445539723779,13.776891346523104,0.9867344250087141,0.25057626212041423,0.000857401899686567,0.6553809378496591,0.01601608435189899
ai2d,m3,4,144,144,190,190,Trajectory Platt (5D),6.7956957801245155,1.4842528932147327,8.171698665712029,1.0440803041215705,0.2239082566119678,0.003420705188254813,0.6828145661682432,0.009188752008267966
ai2d,m3,5,576,576,766,576,Naive Confidence (NC),41.996494915660364,0.004420246103250955,41.996494915660364,0.00442024610325825,0.41994035548894726,8.693115576348742e-05,0.6207230090311986,0.014954744540303407
ai2d,m3,5,576,576,766,576,Platt Scaling (1D),5.6056039885646545,0.9671025821252615,8.067621684353051,1.6891930624202056,0.234794423918092,0.0030404212164542852,0.6207230090311986,0.014954744540303407
ai2d,m3,5,576,576,766,576,Temperature Scaling (TS),8.550096928752208,0.18060957352116092,12.537761179672154,1.2214680930259814,0.24699526388748194,0.0009690475021686841,0.6207230090311986,0.014954744540303407
ai2d,m3,5,576,576,766,766,Trajectory Platt (5D),7.1329432260245085,0.9542325757961746,9.230367246642711,1.3069734703480091,0.23270097441843257,0.0053890058549552365,0.6419771141215107,0.021345983154952224
avqa,m3,1,1,1,1,1,Naive Confidence (NC),28.397927905619145,1.3501720347985064,28.68053670525551,1.2332422168952208,0.3550404529447094,0.008784479040216278,0.5937837626242857,0.0129099552094041
avqa,m3,1,1,1,1,1,Platt Scaling (1D),11.35468553978883,1.7743904632542098,16.281534110282696,1.5748997829442295,0.23697065059654623,0.0015123805514019241,0.5937837626242857,0.0129099552094041
avqa,m3,1,1,1,1,1,Temperature Scaling (TS),13.374489447539343,0.7359562386247637,19.225802111424983,1.4385396867534288,0.2531859445602781,0.0009473973127838875,0.5937837626242857,0.0129099552094041
avqa,m3,1,1,1,1,1,Trajectory Platt (5D),11.300576263666155,1.6907789688986998,16.279850068688393,1.5741684864637424,0.23696722422520886,0.0015084328650887405,0.5937837626242857,0.0129099552094041
avqa,m3,2,9,9,10,9,Naive Confidence (NC),27.59645570833236,1.936525862061172,27.36528085339815,1.968332153924132,0.3357800911854919,0.019526948052898764,0.6101199514120863,0.03129127096138271
avqa,m3,2,9,9,10,9,Platt Scaling (1D),11.883425938877425,2.3668539479643003,14.218878614249622,1.1846378289580595,0.2419129034143587,0.0024352282997119356,0.6101199514120863,0.03129127096138271
avqa,m3,2,9,9,10,9,Temperature Scaling (TS),9.217658853801469,0.6985967727483429,15.06646104820162,1.1950932633646196,0.2496972663775412,0.0017573642786822695,0.6101199514120863,0.03129127096138271
avqa,m3,2,9,9,10,10,Trajectory Platt (5D),5.439035152643919,1.2683334170274063,8.437630420178177,1.1238646122132039,0.23595680120488352,0.004346518881765574,0.6214900293551979,0.02415304208321073
avqa,m3,3,36,36,46,36,Naive Confidence (NC),25.524485003203154,1.3501842988445771,25.232054752856495,1.7631381651294018,0.32880124892972695,0.012576860840446251,0.5910629654705484,0.029473421596825762
avqa,m3,3,36,36,46,36,Platt Scaling (1D),9.50296569530065,2.6697625836695367,13.452486505481186,1.2943874248344682,0.2461605203535874,0.0038586257980655894,0.5910629654705484,0.029473421596825762
avqa,m3,3,36,36,46,36,Temperature Scaling (TS),6.2459608418923525,0.72197717269526,13.734985574471946,1.060569292138247,0.2491787715095192,0.0020674884066363545,0.5910629654705484,0.029473421596825762
avqa,m3,3,36,36,46,46,Trajectory Platt (5D),6.348419986665247,0.937086924352763,8.034848548471928,1.5069384617991797,0.2386008331331923,0.00623078686980633,0.6170365355199479,0.028289044891922483
avqa,m3,4,144,144,190,144,Naive Confidence (NC),25.196299997344614,1.3298042967790866,25.02961105816066,2.005466230720094,0.32628334028887507,0.014964866130940268,0.5908567710939845,0.02341030290691901
avqa,m3,4,144,144,190,144,Platt Scaling (1D),5.678672387581502,1.3768783091259706,13.325179540152586,1.562963874196758,0.24727237153199727,0.0019466879707658034,0.5908567710939845,0.02341030290691901
avqa,m3,4,144,144,190,144,Temperature Scaling (TS),5.0258438298277595,0.6739698689655008,13.745822476053561,0.7821449118131121,0.24927257589329663,0.0016063616399917794,0.5908567710939845,0.02341030290691901
avqa,m3,4,144,144,190,190,Trajectory Platt (5D),5.585401924699546,1.2424293616207096,7.855678916722536,0.9541602320128877,0.23493855220120602,0.004402893788804446,0.6342308077269542,0.014914624875672803
avqa,m3,5,576,576,766,576,Naive Confidence (NC),24.510871193744244,0.8623921549607714,24.06323860231787,0.8522537476670382,0.3103699431499785,0.01119491787183297,0.6124562456245625,0.02761786974439514
avqa,m3,5,576,576,766,576,Platt Scaling (1D),9.203832853912678,1.7638387604509793,14.129367553674859,2.91928888002843,0.24564225029568706,0.0027167592570901773,0.6124562456245625,0.02761786974439514
avqa,m3,5,576,576,766,576,Temperature Scaling (TS),3.986042844876684,0.7215654417523111,14.182546262782529,3.0994326356674327,0.24725082557407277,0.00201494577312947,0.6124562456245625,0.02761786974439514
avqa,m3,5,576,576,766,766,Trajectory Platt (5D),7.657790730893612,1.9151926582497485,8.28045932352543,0.8384645257887337,0.22474185995232082,0.004908219516109406,0.6847734773477347,0.028009900536418657
chartqa,m3,1,1,1,1,1,Naive Confidence (NC),73.0972867488861,0.6673160842571859,73.09728674888612,0.667316084257199,0.6193046847987077,0.01018045702431046,0.8513076241134752,0.029660117489709797
chartqa,m3,1,1,1,1,1,Platt Scaling (1D),1.9474909386758488,0.45950220208007303,2.797266372215777,0.39131493781619436,0.04456628227755392,0.005254870156229441,0.8513076241134752,0.029660117489709797
chartqa,m3,1,1,1,1,1,Temperature Scaling (TS),47.869716945399745,0.1745307061549255,47.807588530226454,0.16484102350818167,0.2793015610197306,0.001554450440561261,0.8513076241134752,0.029660117489709797
chartqa,m3,1,1,1,1,1,Trajectory Platt (5D),1.9831826278124935,0.6185660034076002,2.807286567648407,0.4132992245562507,0.044584204407246364,0.005204094249118941,0.8513076241134752,0.029660117489709797
chartqa,m3,2,9,9,10,9,Naive Confidence (NC),73.20388581864536,0.41590073667858113,73.20388581864536,0.4159007366785794,0.6287414252308146,0.007265355347144935,0.8514400921658986,0.03788870963588841
chartqa,m3,2,9,9,10,9,Platt Scaling (1D),2.4252152557513043,0.8671191061566602,3.0832997704134457,0.24607532708940555,0.050437066826352815,0.0032357140552769633,0.8514400921658986,0.03788870963588841
chartqa,m3,2,9,9,10,9,Temperature Scaling (TS),47.09551869493729,0.2560642395645444,46.90374979310819,0.09573198261489298,0.2784485124240163,0.0006023661831062098,0.8514400921658986,0.03788870963588841
chartqa,m3,2,9,9,10,10,Trajectory Platt (5D),2.4982775606331415,0.910504808320562,2.95367623543134,0.4022069663628831,0.05049725974180121,0.003313668965589105,0.8527073732718893,0.03703718712314342
