dataset,arch,level,scale,single_tokens,cum_tokens,tokens_used,method,ece_percent_mean,ece_percent_std,adaptive_ece_percent_mean,adaptive_ece_percent_std,brier_mean,brier_std,auroc_mean,auroc_std
avqa,mqt,2,9,9,10,9,Temperature Scaling (TS),13.13663633999236,0.08338685020405764,19.366153393520175,1.984743683574509,0.2541181616105797,0.000753317736611062,0.5925724448164035,0.012767038949414668
avqa,mqt,2,9,9,10,10,Trajectory Platt (5D),5.33788964152336,0.9394962150726581,7.806852661073208,1.5923544573530273,0.2269869475369887,0.004992531369024253,0.6293649963385292,0.028982668240824586
avqa,mqt,3,36,36,46,36,Naive Confidence (NC),29.681369457766415,1.7202884304731654,28.776118433102965,1.3528630100024022,0.35244293102381336,0.009634209074026876,0.5757378218023478,0.013794559091172331
avqa,mqt,3,36,36,46,36,Platt Scaling (1D),11.65828690750657,1.3730931187442954,14.93632360098214,1.2465986322515359,0.24512882284694823,0.0009525171658199816,0.5757378218023478,0.013794559091172331
avqa,mqt,3,36,36,46,36,Temperature Scaling (TS),10.023320143484671,0.2476364907174135,16.21722924431529,0.8553691530982972,0.2548292230371509,0.0009777142350565562,0.5757378218023478,0.013794559091172331
avqa,mqt,3,36,36,46,46,Trajectory Platt (5D),5.812969443574548,0.7218245831814937,8.50519595555961,1.3155508920871473,0.2273341904950228,0.0071860742075551065,0.6572890937332893,0.028096817996092507
avqa,mqt,4,144,144,190,144,Naive Confidence (NC),27.354804384708405,1.335592836107273,27.19402908682823,0.9503198586354176,0.3292675329617628,0.012490597904350509,0.6045592628856921,0.023435313378091065
avqa,mqt,4,144,144,190,144,Platt Scaling (1D),5.280780144701799,2.190242501537354,14.159334945823705,1.1652653168227116,0.24637390706385287,0.001703623530330785,0.6045592628856921,0.023435313378091065
avqa,mqt,4,144,144,190,144,Temperature Scaling (TS),7.040710796004015,0.37768806807248384,14.734983931428266,2.226643703082933,0.25077549487867556,0.0014359987899724234,0.6045592628856921,0.023435313378091065
avqa,mqt,4,144,144,190,190,Trajectory Platt (5D),6.027895606681705,1.2291078420094128,7.722628403827548,1.3443544698452734,0.23027638870957365,0.004783423306208817,0.6601641937184606,0.023713593169556634
avqa,mqt,5,256,256,446,256,Naive Confidence (NC),28.436510453745722,1.0358086775304522,27.812747509032494,1.4917523537957027,0.3369571667233805,0.010751195013359685,0.6015781814532316,0.012761156194677156
avqa,mqt,5,256,256,446,256,Platt Scaling (1D),2.458957417005442,0.7760053756131848,11.930762339985254,1.235322156065315,0.245466538313487,0.0008333396306485579,0.6015781814532316,0.012761156194677156
avqa,mqt,5,256,256,446,256,Temperature Scaling (TS),6.609137014142154,0.2034166811395984,12.726480134264813,0.3979834503366689,0.24974838892819298,0.0009657193024347876,0.6015781814532316,0.012761156194677156
avqa,mqt,5,256,256,446,446,Trajectory Platt (5D),5.025981207937002,0.23542873796652947,6.1728735834360124,1.6655795056473506,0.22861555039510728,0.003257114807642547,0.6689833400240868,0.014015872009548782
