dataset,arch,level,scale,single_tokens,cum_tokens,tokens_used,seed,method,accuracy,ece_percent,adaptive_ece_percent,brier,auroc
ai2d,m3,1,1,1,1,1,46,Naive Confidence (NC),55.50000000000001,44.49645497568798,44.49645497568799,0.4449516975759259,0.6391082093329284
ai2d,m3,1,1,1,1,1,46,Temperature Scaling (TS),55.50000000000001,10.738900049239708,13.931738588964308,0.2541443550274427,0.6391082093329284
ai2d,m3,1,1,1,1,1,46,Platt Scaling (1D),55.50000000000001,4.460481829475674,7.88173695297848,0.23453190211185315,0.6391082093329284
ai2d,m3,1,1,1,1,1,46,Trajectory Platt (5D),55.50000000000001,4.562291182577609,7.8840151429176375,0.23451987050876957,0.6391082093329284
ai2d,m3,2,9,9,10,9,42,Naive Confidence (NC),56.25,43.74885758065719,43.7488575806572,0.43748392770550537,0.6522539682539683
ai2d,m3,2,9,9,10,9,42,Temperature Scaling (TS),56.25,10.17972313443096,13.255321321609387,0.25117568469265455,0.6522539682539683
ai2d,m3,2,9,9,10,9,42,Platt Scaling (1D),56.25,5.335062866565238,6.50896225522974,0.2289549050318545,0.6522539682539683
ai2d,m3,2,9,9,10,10,42,Trajectory Platt (5D),56.25,6.668766967952251,8.930628441274166,0.2281755971615206,0.6674539682539683
ai2d,m3,2,9,9,10,9,43,Naive Confidence (NC),56.25,43.74836455321005,43.748364553210074,0.4374722904818475,0.654895238095238
ai2d,m3,2,9,9,10,9,43,Temperature Scaling (TS),56.25,10.486838645335665,14.449938703223475,0.25249175158295584,0.654895238095238
ai2d,m3,2,9,9,10,9,43,Platt Scaling (1D),56.25,6.322318727524887,8.590543251601595,0.23145938140603461,0.654895238095238
ai2d,m3,2,9,9,10,10,43,Trajectory Platt (5D),56.25,5.808342520147565,7.796293947845697,0.22679658358210011,0.6823619047619047
ai2d,m3,2,9,9,10,9,44,Naive Confidence (NC),56.25,43.74729807512665,43.74729807512666,0.4374641649788882,0.6513904761904762
ai2d,m3,2,9,9,10,9,44,Temperature Scaling (TS),56.25,10.364989275949394,13.408248451229344,0.25186866224759213,0.6513904761904762
ai2d,m3,2,9,9,10,9,44,Platt Scaling (1D),56.25,2.9251105464704117,6.435645924403135,0.23063591666938357,0.6513904761904762
ai2d,m3,2,9,9,10,10,44,Trajectory Platt (5D),56.25,7.925588101148606,9.701143354177475,0.22486345745040065,0.6762412698412699
ai2d,m3,2,9,9,10,9,45,Naive Confidence (NC),56.25,43.74838921314925,43.74838921314927,0.43747944743732936,0.6410666666666667
ai2d,m3,2,9,9,10,9,45,Temperature Scaling (TS),56.25,10.179533409341492,13.831788821888283,0.2521942070032792,0.6410666666666667
ai2d,m3,2,9,9,10,9,45,Platt Scaling (1D),56.25,4.805615282195319,7.180047355521761,0.23462621786042,0.6410666666666667
ai2d,m3,2,9,9,10,10,45,Trajectory Platt (5D),56.25,5.556783953681588,7.946553735062481,0.22991237913467572,0.655111111111111
ai2d,m3,2,9,9,10,9,46,Naive Confidence (NC),56.25,43.74490443288899,43.744904432888994,0.43740650827604566,0.6546539682539684
ai2d,m3,2,9,9,10,9,46,Temperature Scaling (TS),56.25,10.169638193396116,13.791225870915511,0.25110761136440674,0.6546539682539684
ai2d,m3,2,9,9,10,9,46,Platt Scaling (1D),56.25,4.958906598282002,7.036786112160888,0.22960193548624994,0.6546539682539684
ai2d,m3,2,9,9,10,10,46,Trajectory Platt (5D),56.25,7.760946022346616,9.724605752155188,0.22491365800264174,0.6848888888888889
ai2d,m3,3,36,36,46,36,42,Naive Confidence (NC),56.99999999999999,42.99787099829197,42.99787099829197,0.4299806595730098,0.6355441656466749
ai2d,m3,3,36,36,46,36,42,Temperature Scaling (TS),56.99999999999999,9.435177156739554,12.003262435039169,0.2497125387658209,0.6355441656466749
ai2d,m3,3,36,36,46,36,42,Platt Scaling (1D),56.99999999999999,5.807286355692736,7.3216440973658665,0.23486388410086267,0.6355441656466749
ai2d,m3,3,36,36,46,46,42,Trajectory Platt (5D),56.99999999999999,8.143705714493988,10.617281574755907,0.22957345238748716,0.661515707874337
ai2d,m3,3,36,36,46,36,43,Naive Confidence (NC),56.99999999999999,42.99821537274341,42.99821537274341,0.4299707304132589,0.6373036515707874
ai2d,m3,3,36,36,46,36,43,Temperature Scaling (TS),56.99999999999999,9.694988993555476,14.09961521873228,0.24978088851965108,0.6373036515707874
ai2d,m3,3,36,36,46,36,43,Platt Scaling (1D),56.99999999999999,6.024741809128496,8.599611762968879,0.23217541626306035,0.6373036515707874
ai2d,m3,3,36,36,46,46,43,Trajectory Platt (5D),56.99999999999999,6.65740850195289,8.456983875483273,0.2226962539374343,0.6737683598531212
ai2d,m3,3,36,36,46,36,44,Naive Confidence (NC),56.99999999999999,42.985547481205565,42.985547481205565,0.429738968393565,0.5955987352101184
ai2d,m3,3,36,36,46,36,44,Temperature Scaling (TS),56.99999999999999,9.636518449669454,11.240238520728004,0.2516421042909967,0.5955987352101184
ai2d,m3,3,36,36,46,36,44,Platt Scaling (1D),56.99999999999999,7.341875478571709,8.040809901944971,0.2452354261742782,0.5955987352101184
ai2d,m3,3,36,36,46,46,44,Trajectory Platt (5D),56.99999999999999,6.675207316875458,9.361572951078418,0.23922289115661813,0.6245027539779682
ai2d,m3,3,36,36,46,36,45,Naive Confidence (NC),56.99999999999999,42.9976572242567,42.997657224256706,0.4299671612428802,0.6168655650754793
