dataset,arch,level,scale,single_tokens,cum_tokens,tokens_used,method,accuracy_mean,accuracy_std,ece_percent_mean,ece_percent_std,adaptive_ece_percent_mean,adaptive_ece_percent_std,brier_mean,brier_std,auroc_mean,auroc_std
vllm-safety,m3,5,576,576,766,576,Naive Confidence (NC),31.57894736842105,0.0,10.628332417850432,1.6298572498928166,10.642380394629742,1.8667973823049013,0.17406284587795304,0.01027452109834684,0.8112115384615384,0.015986834424545012
vllm-safety,m3,5,576,576,766,576,Platt Scaling (1D),31.57894736842105,0.0,13.103076183184985,2.0012599228135133,13.70905204917259,2.245414088023767,0.17938739541160978,0.004281854697957861,0.8112115384615384,0.015986834424545012
vllm-safety,m3,5,576,576,766,576,Temperature Scaling (TS),31.57894736842105,0.0,15.956566692969565,1.1202780671831387,15.48264495748478,1.4285547926601398,0.18106998052506426,0.0061332136290934355,0.8112115384615384,0.015986834424545012
vllm-safety,m3,5,576,576,766,766,Trajectory Platt (5D),31.57894736842105,0.0,7.224328071467187,1.0310946538071701,7.955429095774889,0.7802861133938206,0.17249449086747656,0.004049034173643105,0.774352564102564,0.018455296866018874
vllm-safety,mqt,1,1,1,1,1,Naive Confidence (NC),24.210526315789473,0.0,9.434154361486435,1.745704778674041,9.278099046725975,1.5111746172482572,0.16211953611862825,0.011314160148578601,0.7987092391304348,0.014279817010087101
vllm-safety,mqt,1,1,1,1,1,Platt Scaling (1D),24.210526315789473,0.0,13.526007407922418,2.4108229095594864,13.948511456971648,2.384289131415237,0.164426313723846,0.004128708683608638,0.7987092391304348,0.014279817010087101
vllm-safety,mqt,1,1,1,1,1,Temperature Scaling (TS),24.210526315789473,0.0,17.971891001459294,1.7955496733710288,17.204183176603998,1.784827515476779,0.17761755582235847,0.006657978524531913,0.7987092391304348,0.014279817010087101
vllm-safety,mqt,1,1,1,1,1,Trajectory Platt (5D),24.210526315789473,0.0,13.491051966422484,2.3968440772972865,13.95279349386692,2.3873749807896925,0.1644324104247743,0.004112002955292389,0.7987092391304348,0.014279817010087101
vllm-safety,mqt,2,9,9,10,9,Naive Confidence (NC),31.57894736842105,0.0,9.75783993009674,1.1248985681059227,9.840864327981283,1.4998895692823002,0.18318394763665014,0.00965257017600841,0.7831923076923077,0.02308297196364791
vllm-safety,mqt,2,9,9,10,9,Platt Scaling (1D),31.57894736842105,0.0,13.744109697697363,2.824422446776568,14.439601191024115,2.638827445646674,0.19004640795746613,0.004707377720769004,0.7831923076923077,0.02308297196364791
vllm-safety,mqt,2,9,9,10,9,Temperature Scaling (TS),31.57894736842105,0.0,16.793659173956804,1.3940056996383168,16.98529492106734,1.847627790222393,0.19914542361853949,0.003819417057329795,0.7831923076923077,0.02308297196364791
vllm-safety,mqt,2,9,9,10,10,Trajectory Platt (5D),31.57894736842105,0.0,7.6666897696099765,1.9303425112791355,8.731087281123589,1.0612404000633215,0.18053124608772608,0.004916010002223729,0.7674102564102564,0.01595412568576247
vllm-safety,mqt,3,36,36,46,36,Naive Confidence (NC),33.421052631578945,0.0,9.444270676884212,0.6907166069584372,10.048346314579248,0.7988351965791913,0.1830093365770117,0.012138295620051769,0.793296193707012,0.022919888320195262
vllm-safety,mqt,3,36,36,46,36,Platt Scaling (1D),33.421052631578945,0.0,11.987626234966624,2.352433344679376,12.61807043022399,2.094953663450128,0.18783057977319673,0.0022063337069247193,0.793296193707012,0.022919888320195262
