ece,ece_percent,adaptive_ece,adaptive_ece_percent,kde_ece,brier,brier_gain,murphy_uncertainty,murphy_resolution,murphy_reliability,auroc,nll,aurc,prob_std,spearman_rho,status,test_dataset,method,transfer_mode
0.0804182685147854,8.04182685147854,0.09377806493451327,9.377806493451327,0.08427690372930473,0.24216224098311923,0.011827983937158282,0.24327600000000002,0.009383646508381704,0.009991691628738173,0.6335868725233891,0.6772161735516131,0.32413670811288114,0.04579813530294972,1.0,VALID,ai2d,Platt Scaling (1D),Zero-Shot Base
0.4179996253869811,41.79996253869811,0.41799962538698116,41.79996253869812,0.4179996253869811,0.4179996702039557,-0.16400944528367817,0.24327600000000002,0.0,0.17472368682365652,0.6335868725233891,6.173019237034694,0.3241190317592806,8.438922072964166e-08,1.0,COLLAPSED,ai2d,Platt Scaling (1D),Target Adapted (Saerens-EM)
0.09019571907464512,9.019571907464512,0.09330593836176841,9.330593836176842,0.07641116833009115,0.23437468264825653,0.019615542272020975,0.24327600000000002,0.019649648023001606,0.011569916962058339,0.6665676844407176,0.6617416190204721,0.3086127085158384,0.1470733121624107,0.7203289949047356,VALID,ai2d,Trajectory LR,Zero-Shot Base
0.4179985066625337,41.79985066625337,0.4179985066625337,41.79985066625337,0.4122554043001567,0.4179985060646726,-0.16400828114439508,0.24327600000000002,0.0,0.17472275157210823,0.6665676844407176,5.6494864984118776,0.2976621371888373,1.5830160643874777e-06,0.7203289949047356,COLLAPSED,ai2d,Trajectory LR,Target Adapted (Saerens-EM)
0.08917240444858765,8.917240444858765,0.09166862276170304,9.166862276170304,0.07658583819991259,0.23414652727583324,0.01984369764444427,0.24327600000000002,0.01990714254458473,0.011514071833658282,0.6666038573472106,0.6611298040265597,0.3097504832951834,0.14562237618228333,0.7213658904745788,VALID,ai2d,Trajectory LR (No Bias),Zero-Shot Base
0.4179987868849092,41.79987868849092,0.4179987868849091,41.79987868849091,0.412254148246741,0.4179987880637532,-0.16400856314347567,0.24327600000000002,0.0,0.17472298583725576,0.6666038573472106,5.733090725028476,0.2977128621608795,1.2598302001256843e-06,0.7213658904745788,COLLAPSED,ai2d,Trajectory LR (No Bias),Target Adapted (Saerens-EM)
0.08306437231647251,8.306437231647251,0.10777025264629093,10.777025264629094,0.10165382583752036,0.23990914744048306,0.014081077479794452,0.24327600000000002,0.01489838679777596,0.013194501585677774,0.6580315361975698,0.6721207821312931,0.30257626296856205,0.05380479708419354,0.9425536096012693,VALID,ai2d,Best 5D Trajectory,Zero-Shot Base
0.41799967931765647,41.79996793176565,0.41799967931765636,41.799967931765636,0.41799967931765647,0.4179997126754821,-0.16400948775520457,0.24327600000000002,0.0,0.17472373190966364,0.6580315361975698,6.2333695579980315,0.30263768517170786,8.522094304464182e-08,1.0,COLLAPSED,ai2d,Best 5D Trajectory,Target Adapted (Saerens-EM)
0.08306437231647251,8.306437231647251,0.10777025264629093,10.777025264629094,0.10165382583752036,0.23990914744048306,0.014081077479794452,0.24327600000000002,0.01489838679777596,0.013194501585677774,0.6580315361975698,0.6721207821312931,0.30257626296856205,0.05380479708419354,0.9425536096012693,VALID,ai2d,Two-Stage Residual,Zero-Shot Base
0.41799967931765647,41.79996793176565,0.41799967931765636,41.799967931765636,0.41799967931765647,0.4179997126754821,-0.16400948775520457,0.24327600000000002,0.0,0.17472373190966364,0.6580315361975698,6.2333695579980315,0.30263768517170786,8.522094304464182e-08,1.0,COLLAPSED,ai2d,Two-Stage Residual,Target Adapted (Saerens-EM)
