feature_dropped,baseline_ece,loo_ece,delta_ece
x6,3.9511136484104674,4.875692119179305,0.9245784707688371
x7,3.9511136484104674,4.552590297890473,0.6014766494800052
x15,3.9511136484104674,4.4866237057004446,0.5355100572899771
x12,3.9511136484104674,4.332802710683621,0.3816890622731539
x10,3.9511136484104674,4.232867047130751,0.28175339872028315
x3,3.9511136484104674,4.228058220133741,0.2769445717232739
x4,3.9511136484104674,4.219221007470751,0.2681073590602838
x11,3.9511136484104674,4.209004547478637,0.2578908990681694
x5,3.9511136484104674,4.168797807371743,0.2176841589612759
x8,3.9511136484104674,4.160057699425601,0.2089440510151337
x17,3.9511136484104674,4.1260350003723465,0.17492135196187908
x14,3.9511136484104674,4.076880260638741,0.12576661222827346
x9,3.9511136484104674,4.045863771002866,0.09475012259239834
x16,3.9511136484104674,4.029655117649765,0.07854146923929717
x13,3.9511136484104674,3.989177845151147,0.03806419674067962
x2,3.9511136484104674,3.69743329680366,-0.25368035160680735
x1,3.9511136484104674,2.7676801514433618,-1.1834334969671056
