feature,adaptive_ece_percent,auroc,weight
x7,1.9570102754234888,0.6777600830355309,-2.934669995585021
x2,2.7627704761116156,0.496360649453482,0.0002080418398954375
x3,4.53572349264026,0.6794046641501846,2.530128048283293
x12,7.043208043197458,0.4793208745124491,-0.10151281743280548
x6,7.1016968239779805,0.6372807329917509,-4.7680243064155405
x5,7.911055104520185,0.6303701302509919,-4.844516294534232
x13,8.361415409379394,0.6179183092926898,-12.867535086355646
x1,9.021023284875369,0.648596314093836,0.09020369481254811
x14,9.559910509464506,0.485853585987021,-0.20642169474991415
x10,9.62067477633301,0.516967035061774,0.5975460195061497
x15,9.652333580581088,0.5274224107954569,1.060755032625605
x16,9.816164255603654,0.5141283468723423,0.16300751361500596
x9,9.93826883732211,0.5569385151638298,6.667695796276602
x4,10.162692113944333,0.5652704520032008,-9.236764417247091
x8,10.7058035444432,0.5481624408759369,-0.30332006452138116
x11,11.76135829327519,0.5269110845311761,-0.034692553034950044
x17,18.065205111050147,0.5138934216755414,-0.041686096249686486
