feature_dropped,baseline_ece,loo_ece,delta_ece
x7,2.8719128689560764,3.7788056206920113,0.9068927517359349
x1,2.8719128689560764,3.5106391869628855,0.638726318006809
x2,2.8719128689560764,3.348979599462363,0.47706673050628634
x4,2.8719128689560764,3.2201183771777013,0.3482055082216249
x12,2.8719128689560764,3.178430077807838,0.3065172088517616
x5,2.8719128689560764,3.138381065822941,0.26646819686686474
x6,2.8719128689560764,2.9756243072929243,0.10371143833684782
x11,2.8719128689560764,2.9555600532119306,0.08364718425585416
x16,2.8719128689560764,2.9340530316412066,0.06214016268513012
x10,2.8719128689560764,2.916203714964818,0.04429084600874145
x8,2.8719128689560764,2.8825722576801707,0.010659388724094221
x17,2.8719128689560764,2.8351160926989296,-0.036796776257146835
x13,2.8719128689560764,2.817414868545718,-0.05449800041035857
x14,2.8719128689560764,2.8159525795151534,-0.05596028944092302
x15,2.8719128689560764,2.790344430390391,-0.08156843856568541
x9,2.8719128689560764,2.776900477414505,-0.09501239154157126
x3,2.8719128689560764,2.603203623879016,-0.2687092450770603
