K_features,subset,adaptive_ece_percent,auroc,brier_score,max_vif
1,x1,5.775477508540763,0.7510866975782086,0.2021760862196827,1.0
2,"x1, x7",2.398117795282598,0.7630990563845118,0.19390187871792966,1.1530663184064318
3,"x1, x7, x6",2.459730413934481,0.7635624389903779,0.1937502146682038,1.281420751103184
5,"x1, x7, x6, x16, x17",2.589594782586982,0.7719399316692233,0.19033667528135326,1.8317555002759909
7,"x1, x7, x6, x16, x17, x3, x14",2.2039646975606684,0.7742112327429926,0.18943490030414598,5.659499254033371
10,"x1, x7, x6, x16, x17, x3, x14, x5, x11, x2",2.939305895866438,0.7795449263236183,0.18677664513727324,5.773250725816301
17,"x1, x2, x3, x4, x5, x6, x7, x8, x9, x10, x11, x12, x13, x14, x15, x16, x17",3.9511136484104674,0.7976020313298935,0.17810761794941238,73.70066470257888
