feature,adaptive_ece_percent,auroc,weight
x7,1.4565987263554587,0.6661036350113885,-2.55647095442155
x2,1.927606406399336,0.6088063031655278,0.478755617958305
x3,4.717355850270525,0.6668049551434015,2.066162064613482
x9,5.284517442013086,0.6166951378236415,8.530042133535401
x4,5.371562191598199,0.696498628736113,-16.60820120345385
x5,5.4321125354983035,0.5627803537395992,-0.4121287859860238
x1,5.775477508540763,0.7510866975782086,0.3882937242812348
x10,6.717913406376209,0.561565100171989,1.1305486005361418
x15,6.8307446244075045,0.6081347615395343,2.545452060582041
x13,6.973178450848227,0.5352978431645982,6.621999693961018
x8,7.5951658071063495,0.5532709873099986,-1.0157889195550072
x6,8.127971538697587,0.6097597964021754,-3.395522201092234
x12,8.773376223609391,0.5662027030167804,0.2775427328519202
x14,9.598230889917367,0.46443226188816067,-0.038004756142036966
x16,9.606574053542182,0.5355674475898294,0.002815111271999931
x17,9.969673220720669,0.4507661065402315,-0.009127258570450148
x11,11.747045011969373,0.5070989053130666,-0.03806925502416844
