ece,ece_percent,adaptive_ece,adaptive_ece_percent,kde_ece,brier,brier_gain,murphy_uncertainty,murphy_resolution,murphy_reliability,auroc,nll,aurc,prob_std,spearman_rho,status,dataset,temperature,method,study
0.04030088554174113,4.030088554174113,0.04117547124222604,4.117547124222605,0.03196330539171354,0.09150840732360334,0.00888324369757909,0.10039159843360625,0.011770943108099183,0.003344807619886794,0.7524243740049212,0.32614413540866033,0.05244628153082437,0.1264829514084249,0.9999999999999999,VALID,pope,0.0,Naive Confidence (NC),temperature_transfer
0.03667871492456429,3.667871492456429,0.03955481799439938,3.955481799439938,0.030273180347041212,0.09137322514491049,0.00901842587627194,0.10039159843360625,0.012078253341033806,0.0033013354794828916,0.7524243740049212,0.31889781571310344,0.05244628153082437,0.12870750364743413,0.9999999999999999,VALID,pope,0.0,Temperature Scaling (TS),temperature_transfer
0.03694972654075997,3.694972654075997,0.04054475044938215,4.054475044938215,0.031217750233180144,0.09148835008485273,0.008903300936329697,0.10039159843360625,0.012078253341033806,0.0034149844546898056,0.7524243740049212,0.3192715881057459,0.05244628153082437,0.1306610963063819,0.9999999999999999,VALID,pope,0.0,Platt Scaling (1D),temperature_transfer
0.04505621008122945,4.5056210081229455,0.06316432509587844,6.316432509587844,0.039380914624056663,0.09362921057905989,0.0067624404421225415,0.10039159843360625,0.01058001020972989,0.004707768264045497,0.7522796352583587,0.3227918816320082,0.046610288247581566,0.14309299301554299,0.9748059451483593,VALID,pope,0.0,Trajectory LR,temperature_transfer
0.043584080449124235,4.358408044912424,0.055630503439458315,5.563050343945831,0.03772214262781278,0.09316055491015478,0.007231096111027652,0.10039159843360625,0.012192715890818393,0.005265647462416482,0.7504704009263279,0.32207860383068354,0.046349669079953415,0.13971729150747256,0.9719147740184291,VALID,pope,0.0,Trajectory LR (No Bias),temperature_transfer
0.03643415905002873,3.643415905002873,0.04064313114682104,4.064313114682104,0.03131232162625058,0.09149892176330247,0.008892729257879955,0.10039159843360625,0.012078253341033806,0.003428845342673157,0.7524243740049212,0.3189745521815385,0.05244628153082437,0.13107803797302908,0.9999999999999999,VALID,pope,0.0,Quadratic Platt (Logit-Only),temperature_transfer
0.049174469370161296,4.91744693701613,0.05099361263656639,5.099361263656639,0.04824435677617006,0.09333747865999918,0.007054172361183247,0.10039159843360625,0.008308875320136702,0.002798536462025639,0.7540165002171081,0.3330631689837259,0.0462038554034255,0.0769823698760461,0.9937533556865978,VALID,pope,0.0,Spline Calibration (PCHIP),temperature_transfer
0.046265602028077335,4.626560202807734,0.04158314870576069,4.15831487057607,0.02967601044151668,0.09122932781012054,0.00916232321106189,0.10039159843360625,0.013549818095856552,0.004888616485314666,0.7566217976552323,0.31750722136329773,0.04855468021638907,0.12876897801143872,0.9961816472320095,VALID,pope,0.0,Adaptive TS (ATS),temperature_transfer
0.0086438892305089,0.86438892305089,0.0086438892305089,0.86438892305089,0.019338259899587623,0.0962633436365038,0.004128307384678634,0.10039159843360625,0.0042083498086671845,8.009501156471544e-05,0.6433637284701115,0.33481469691034615,0.0794159424769701,0.07361166672774973,0.4914759708068543,VALID,pope,0.0,MSSC (Multi-Scale Proxy),temperature_transfer
0.03515161842244475,3.515161842244475,0.04308928063983507,4.308928063983506,0.032955102753468316,0.09157943015807608,0.008812220863106346,0.10039159843360625,0.010361852440557524,0.0019523347875444433,0.751411202778984,0.3198699643589067,0.05193234051517312,0.13152281923568301,0.9993972320614333,VALID,pope,0.0,Residual Calibrator,temperature_transfer
