ece,ece_percent,adaptive_ece,adaptive_ece_percent,kde_ece,brier,brier_gain,murphy_uncertainty,murphy_resolution,murphy_reliability,auroc,nll,aurc,prob_std,spearman_rho,status,dataset,temperature,method,study,base_slope_a0,mean_dynamic_slope,mean_effective_temp
0.038365010254368864,3.8365010254368865,0.04492011746229292,4.492011746229292,0.04091440858057289,0.08904047337820303,0.03436633276560454,0.12340680614380753,0.03764535005834164,0.0028906238008714956,0.8741837872272655,0.2904304553396929,0.03246441466423125,0.16393682362173126,0.9973732216475858,VALID,pope,0.0,VCPS-5D (Refitted),temperature_tracking,0.8152480703454583,0.8176335478974577,1.2243474168926995
0.048703917369117375,4.8703917369117375,0.053917114015448,5.3917114015448,0.04650133409181143,0.18958294147979837,0.04351744914520167,0.2331,0.04824433071858282,0.003571297924300014,0.762575075075075,0.5477751051884439,0.16017614788523363,0.2475804861552861,0.9979651903120588,VALID,scienceqa,0.0,VCPS-5D (Refitted),temperature_tracking,0.4044363999835159,0.40574944020746384,2.4702443231958644
0.09044106024017634,9.044106024017633,0.10634757780452758,10.634757780452759,0.05142501458808922,0.206301103685557,0.021942646314442982,0.22824374999999997,0.034452378022614256,0.014391420792892167,0.7070566006736221,0.5975159306825869,0.2053489972610818,0.18060467637421698,0.98274032962706,VALID,textvqa,0.0,VCPS-5D (Refitted),temperature_tracking,0.2689365742998535,0.2713719987907023,3.73434504300673
0.061169428483265176,6.116942848326517,0.0758572609271652,7.58572609271652,0.028979222814207905,0.14240472466352588,0.034695275336474124,0.1771,0.04101758445482064,0.007246973936333771,0.7973955392433654,0.44257633028310417,0.08874884391481781,0.20615687442219838,0.9995663097487777,VALID,vizwiz-vqa,0.0,VCPS-5D (Refitted),temperature_tracking,0.7143617884669619,0.7122123862372871,1.4068818801751752
0.04014320203135438,4.014320203135438,0.053588870950344494,5.35888709503445,0.04063527882637502,0.08951485076472604,0.03389195537908153,0.12340680614380753,0.03813127337105563,0.0026543603435918925,0.8722726548813505,0.29260698602254187,0.03303017043379464,0.1632009668631035,0.9886833451477085,VALID,pope,0.3,VCPS-5D (Refitted),temperature_tracking,0.2483367509423594,0.24858308835357643,4.02557522829032
0.07572166502043531,7.572166502043531,0.0761659994193685,7.616599941936849,0.04674004239273552,0.19183973082359493,0.04315753480140505,0.23499374999999997,0.051592609474084256,0.008490552082436261,0.7610308784808109,0.5624147866811392,0.1721604858101694,0.23747560272782353,0.9643716641318211,VALID,scienceqa,0.3,VCPS-5D (Refitted),temperature_tracking,0.16301593302172257,0.16397480077171703,6.21174493236422
0.09586301732123896,9.586301732123896,0.10279014002534151,10.27901400253415,0.06350708366665624,0.18681363221555955,0.038506680284440487,0.22519375,0.053051314945249034,0.01507250854075713,0.7413477283450363,0.5568015967188361,0.17294207447949422,0.18886933718466442,0.9247272317818145,VALID,textvqa,0.3,VCPS-5D (Refitted),temperature_tracking,0.13318822957125848,0.13413430064389056,7.762843522820121
0.045318073144949025,4.531807314494903,0.05527790737142595,5.5277907371425945,0.02874545813680954,0.1446842944182273,0.031062971206772733,0.17574375,0.035494153476089974,0.006115174590386244,0.7676304278246026,0.4527444375098132,0.09800253957608719,0.17864100373695188,0.989211353323209,VALID,vizwiz-vqa,0.3,VCPS-5D (Refitted),temperature_tracking,0.1988795809022809,0.19876582344350469,5.0844605525592605
0.04113531425881909,4.113531425881909,0.04777158859456457,4.777158859456457,0.04529853327603529,0.09801954109412742,0.032021068766231675,0.1300105148337772,0.0373134675036048,0.005118848356351846,0.8540438397581253,0.3144535995194628,0.03976214175910752,0.18574429020220407,0.9956170244570103,VALID,pope,0.6,VCPS-5D (Refitted),temperature_tracking,0.5151161493589287,0.5167681858263025,1.9381512547557602
0.06975430910738038,6.975430910738038,0.08779644584823626,8.779644584823625,0.04654996686479708,0.18947470423563403,0.044275295764365924,0.23374375,0.0515821463709105,0.006918361789908847,0.7644054653867751,0.5481477876610336,0.16014881372117443,0.24487989647913935,0.9953777279509214,VALID,scienceqa,0.6,VCPS-5D (Refitted),temperature_tracking,0.23554448708874584,0.23577904008562167,4.25296393360455
