feature,adaptive_ece_percent,auroc,weight
x1,2.6203902024027985,0.8421891845493563,0.840648038765164
x17,3.411911989146083,0.5,0.3108164542541401
x2,4.058323988494422,0.58084669527897,0.30123466366827056
x7,4.253997656152358,0.6897806008583691,-2.5131560534918167
x3,4.409320497992336,0.6872666094420601,2.319469990896649
x4,6.045078683383674,0.6403323605150215,-11.688170939615658
x6,7.590439780908367,0.6305236051502146,-4.240769931054079
x12,7.869341575394194,0.5255642918454935,0.12167502167095755
x9,7.929024599362755,0.5848624892703863,7.752012912801711
x15,8.579695337131486,0.5762073819742489,2.8008007270397277
x5,8.983655161826675,0.6739529613733906,-3.261699587585615
x8,8.98556864881906,0.5194602575107296,-0.5517186909089578
x13,9.40497026994365,0.44018678111587983,0.9952718600307884
x10,9.551634558836676,0.5488892703862661,1.5811215702049457
x14,12.44319211955248,0.46942763948497856,-0.10667128562732982
x16,12.789286400983386,0.5305723605150214,0.390034547826156
x11,14.131780581606654,0.5400940772532189,0.08497802190165532
