K_features,subset,adaptive_ece_percent,auroc,brier_score,max_vif
1,x1,3.6496446579986324,0.8346981204124061,0.15505124122666503,1.0
2,"x1, x14",3.6140593912197287,0.8345245488102631,0.15504508379969287,1.0024981498926886
3,"x1, x14, x3",3.6146833684146165,0.8345110487967631,0.15504466401286102,1.2172093552878582
5,"x1, x14, x3, x16, x7",3.7672386104194113,0.8348350491207635,0.15498174604724674,1.9760781733339063
7,"x1, x14, x3, x16, x7, x5, x11",3.924907411356194,0.8359227644941931,0.15460443116353173,2.079460635414022
10,"x1, x14, x3, x16, x7, x5, x11, x6, x12, x8",3.655180450568202,0.835801264372693,0.15462310931360695,10.909402047036105
17,"x1, x2, x3, x4, x5, x6, x7, x8, x9, x10, x11, x12, x13, x14, x15, x16, x17",2.6016274987020322,0.8398724827296257,0.15275435833236184,82.29376770173589
