dataset,arch,budget,method,adaptive_ece_percent_mean,adaptive_ece_percent_std,ece_percent_mean,ece_percent_std,auroc_mean,auroc_std,brier_mean,brier_std,effective_n_mean,effective_n_std,is_capped
chartqa,mqt,50,Platt Scaling (1D),5.079756289899332,1.3176867885278363,2.835436990647622,1.788991976271391,0.5085459499628436,0.0,0.07769399928325707,0.0019782471924143273,50.0,0.0,False
chartqa,mqt,50,Temperature Scaling (TS),44.88018805567559,0.0,44.88018805567558,0.0,0.49145405003715625,0.0,0.27785830171700704,0.0,50.0,0.0,False
chartqa,mqt,50,Trajectory Platt (5D),5.665300532244146,1.6179915941482115,3.779346425458789,2.395575188906033,0.5460160184955825,0.037911903597202166,0.0789964264228594,0.004080105182025739,50.0,0.0,False
chartqa,mqt,50,VCPS-5D (Our Method),3.905239026373539,0.6838140631765244,0.4608056534343975,0.337946821489365,0.524201139459995,0.006170825257075707,0.07559698588651909,5.98038869386774e-05,50.0,0.0,False
chartqa,mqt,500,Naive Confidence (NC),71.29543035104871,0.0,71.29543035104871,0.0,0.49145405003715625,0.0,0.6483113241601524,0.0,500.0,0.0,False
chartqa,mqt,500,Platt Scaling (1D),4.648943385194952,0.4829392406504535,2.571047022748144,0.19548119406086958,0.5085459499628436,0.0,0.07665919132887825,0.0005641964858173322,500.0,0.0,False
chartqa,mqt,500,Temperature Scaling (TS),44.88018805567559,0.0,44.88018805567558,0.0,0.49145405003715625,0.0,0.27785830171700704,0.0,500.0,0.0,False
chartqa,mqt,500,Trajectory Platt (5D),4.407772505073808,1.353990077967319,2.689165819971822,0.5896513566646708,0.5810585418214845,0.013284131763531106,0.07715579563768774,0.0009664577192853514,500.0,0.0,False
chartqa,mqt,500,VCPS-5D (Our Method),3.914071470584834,0.5834634645813823,0.17265727160034056,0.09285653101866104,0.5550656428040625,0.010044274488119726,0.07546568704973698,4.2909501956795314e-05,500.0,0.0,False
chartqa,mqt,Full,Naive Confidence (NC),71.29543035104871,0.0,71.29543035104871,0.0,0.49145405003715625,0.0,0.6483113241601524,0.0,1600.0,0.0,True
chartqa,mqt,Full,Platt Scaling (1D),4.266765259595795,0.0,3.055728192132261,0.0,0.5085459499628436,0.0,0.0762469089941342,0.0,1600.0,0.0,True
chartqa,mqt,Full,Temperature Scaling (TS),44.88018805567559,0.0,44.88018805567558,0.0,0.49145405003715625,0.0,0.27785830171700704,0.0,1600.0,0.0,True
chartqa,mqt,Full,Trajectory Platt (5D),3.9206717377528557,0.0,2.435783005319536,0.0,0.6031706712905622,0.0,0.07645699945206916,0.0,1600.0,0.0,True
chartqa,mqt,Full,VCPS-5D (Our Method),3.609852355637922,0.0,0.44535099621715873,0.0,0.5585831062670299,0.0,0.07545398124806157,0.0,1600.0,0.0,True
docvqa,mqt,100,Naive Confidence (NC),53.304671982303276,0.0,53.30467198230326,0.0,0.5170562770562771,0.0,0.41620474107978467,0.0,100.0,0.0,False
docvqa,mqt,100,Platt Scaling (1D),3.447644876706888,0.34575458847096185,0.27053832860794097,0.07798249411157608,0.5034112554112554,0.018684215381561505,0.03615678337335103,8.579777058902227e-05,100.0,0.0,False
docvqa,mqt,100,Temperature Scaling (TS),47.0664684453561,0.0,47.0664684453561,0.0,0.5170562770562771,0.0,0.25837158204315275,0.0,100.0,0.0,False
docvqa,mqt,100,Trajectory Platt (5D),3.973426913505682,0.6812362078785212,2.5167303555303078,1.1387424103216714,0.5506493506493506,0.04899362004965147,0.038485937489674195,0.0016725605262134936,100.0,0.0,False
docvqa,mqt,100,VCPS-5D (Our Method),2.8480695576418955,0.5426706141519091,0.267332526043694,0.07882298700952599,0.518926406926407,0.034888100952741405,0.03616196015064603,6.872151231402879e-05,100.0,0.0,False
docvqa,mqt,1000,Naive Confidence (NC),53.304671982303276,0.0,53.30467198230326,0.0,0.5170562770562771,0.0,0.41620474107978467,0.0,1000.0,0.0,False
docvqa,mqt,1000,Platt Scaling (1D),3.707136928787132,0.05458326853547209,0.1843445359263217,0.0876552602127316,0.5170562770562771,0.0,0.03627097763653987,6.898933175157685e-05,1000.0,0.0,False
docvqa,mqt,1000,Temperature Scaling (TS),47.0664684453561,0.0,47.0664684453561,0.0,0.5170562770562771,0.0,0.25837158204315275,0.0,1000.0,0.0,False
docvqa,mqt,1000,Trajectory Platt (5D),3.0004062256775796,0.6817077444863364,1.2703749541193248,0.3788562929272138,0.5876363636363637,0.005820345917872853,0.036495433849617814,0.00031408217755854776,1000.0,0.0,False
docvqa,mqt,1000,VCPS-5D (Our Method),2.8845008124347156,0.26322076373473013,0.19010466680085475,0.1019033830726594,0.5293852813852814,0.0038142434361235315,0.0362416918766152,6.483100039831565e-05,1000.0,0.0,False
docvqa,mqt,1500,Naive Confidence (NC),53.304671982303276,0.0,53.30467198230326,0.0,0.5170562770562771,0.0,0.41620474107978467,0.0,1500.0,0.0,False
docvqa,mqt,1500,Platt Scaling (1D),3.665178183625032,0.01161944154291954,0.07934461697820931,0.003492406412182292,0.5170562770562771,0.0,0.03622973231920216,1.3048347723646178e-05,1500.0,0.0,False
docvqa,mqt,1500,Temperature Scaling (TS),47.0664684453561,0.0,47.0664684453561,0.0,0.5170562770562771,0.0,0.25837158204315275,0.0,1500.0,0.0,False
docvqa,mqt,1500,Trajectory Platt (5D),2.5309782390715556,0.5020040712874488,0.9229614394018428,0.32924561338754027,0.59591341991342,0.0030206401286158708,0.036310591117415074,5.964852623699858e-05,1500.0,0.0,False
docvqa,mqt,1500,VCPS-5D (Our Method),2.740403806889101,0.01894347029793302,0.06794381971496603,0.003268355695984298,0.5300779220779221,0.001360161862279144,0.03619942243273694,1.2847815650529635e-05,1500.0,0.0,False
docvqa,mqt,200,Naive Confidence (NC),53.304671982303276,0.0,53.30467198230326,0.0,0.5170562770562771,0.0,0.41620474107978467,0.0,200.0,0.0,False
