arch,budget,method,ada_ece_mean,ada_ece_std,ece_mean,ece_std,auroc_mean,auroc_std,brier_mean,brier_std,sample_size_mean,budget_order,method_order
mqt,50,Naive Confidence (NC),32.75003143327483,0.0,33.270517685035024,0.0,0.6690423624003449,0.0,0.31629733821396583,0.0,50.0,0,0
mqt,50,Temperature Scaling (TS),24.541789472963753,0.1368159948598056,24.298926239537817,0.2627357913239269,0.6690423624003449,0.0,0.21923907145640933,0.0005734380673031897,50.0,0,1
mqt,50,Platt Scaling (1D),8.230672101901765,0.36209430761608885,6.673352379061174,0.2321298090636607,0.6740282172761924,0.01203019553779993,0.13778399525906324,0.0011447800557746305,50.0,0,2
mqt,50,Trajectory Platt (5D),8.26664867126431,0.41714534363479433,7.296489015409044,0.4855989057013599,0.6641385374984952,0.02044596214960479,0.1407472170767024,0.0020684411684812887,50.0,0,3
mqt,50,VCPS-5D (Our Method),8.156132843334529,0.6168488414236794,6.967624032102492,0.7210146131537862,0.6696632059626214,0.0031354804275499537,0.14100485619381503,0.004237573617571547,50.0,0,4
mqt,100,Naive Confidence (NC),32.75003143327483,0.0,33.270517685035024,0.0,0.6690423624003449,0.0,0.31629733821396583,0.0,100.0,1,0
mqt,100,Temperature Scaling (TS),24.41650960384486,0.16359806046123068,24.07930371814041,0.3834312879120117,0.6690423624003449,0.0,0.21858209462538447,0.0006794384601520596,100.0,1,1
mqt,100,Platt Scaling (1D),7.536391180146715,0.0951046416779354,5.952843674222114,0.4314027878861665,0.6740282172761924,0.010605486379039904,0.13584024629656616,0.00020867824522999143,100.0,1,2
mqt,100,Trajectory Platt (5D),7.160632498248981,0.5702358901229205,6.304821950218442,0.6884664798727909,0.7017329833377828,0.018773833493314056,0.13644642722794137,0.0019847969054948593,100.0,1,3
mqt,100,VCPS-5D (Our Method),6.905784882638225,0.4821473823633064,5.747261093986903,0.6071923080810765,0.6807989580047943,0.0066911473729289305,0.13582991936831051,0.0018388744105470398,100.0,1,4
mqt,200,Naive Confidence (NC),32.75003143327483,0.0,33.270517685035024,0.0,0.6690423624003449,0.0,0.31629733821396583,0.0,200.0,2,0
mqt,200,Temperature Scaling (TS),24.281117319051084,0.12203788022413116,23.923248237466446,0.19372437280368882,0.6690423624003449,0.0,0.21814630871767152,0.00032706662170514585,200.0,2,1
mqt,200,Platt Scaling (1D),7.3413043493191115,0.115610809762331,5.631417323497087,0.13567762540773046,0.6745155394778003,0.011690542198795196,0.1349810861325899,0.0002930608147564807,200.0,2,2
mqt,200,Trajectory Platt (5D),6.579524563068196,0.3681234324245964,5.683637654728945,0.34899614825015,0.703670761197446,0.014237503375363865,0.13404282237464235,0.0005551051254446968,200.0,2,3
mqt,200,VCPS-5D (Our Method),6.618554080112252,0.1925183057035215,5.233069421646542,0.3570163829381743,0.6799846952282502,0.006440960370686496,0.1337190785211507,0.00048048565256205545,200.0,2,4
mqt,500,Naive Confidence (NC),32.75003143327483,0.0,33.270517685035024,0.0,0.6690423624003449,0.0,0.31629733821396583,0.0,500.0,3,0
mqt,500,Temperature Scaling (TS),24.324842958123185,0.08620545832229687,23.930668500848743,0.12588007215866953,0.6690423624003449,0.0,0.21826740449560872,0.00020507857098307696,500.0,3,1
mqt,500,Platt Scaling (1D),7.267498698268218,0.08657984509997453,5.296605802474207,0.1364168017879161,0.6744483933167207,0.011698436918301322,0.13482599509759782,0.00013316595456941746,500.0,3,2
mqt,500,Trajectory Platt (5D),6.408474013181379,0.34080457532761205,5.4261171095058485,0.4091091366434735,0.7216232558133908,0.014034674819619147,0.13235805723121824,0.00040309291945976014,500.0,3,3
mqt,500,VCPS-5D (Our Method),6.613878232818678,0.20722774046732792,4.998353113978624,0.32125921077044256,0.6862065662249114,0.002420930080813289,0.13333229941996538,9.116879433626619e-05,500.0,3,4
mqt,1000,Naive Confidence (NC),32.75003143327483,0.0,33.270517685035024,0.0,0.6690423624003449,0.0,0.31629733821396583,0.0,906.0714285714287,4,0
mqt,1000,Temperature Scaling (TS),24.245779870061273,0.06200516936025734,23.921662061010306,0.06319887738743316,0.6690423624003449,0.0,0.2181231425113936,7.247800209996137e-05,906.0714285714287,4,1
mqt,1000,Platt Scaling (1D),7.155128135949295,0.02872181209836716,5.372927935881272,0.1437532001299947,0.6688770414883181,0.0,0.13458230198584115,0.00012365976215593122,906.0714285714287,4,2
mqt,1000,Trajectory Platt (5D),6.4128917258734575,0.16013487345190547,5.609524564967469,0.09344453451069323,0.738637724698317,0.001087175623984792,0.13185108776098903,5.0692904805556645e-05,906.0714285714287,4,3
mqt,1000,VCPS-5D (Our Method),6.720909934285584,0.12337005360166871,5.034513712392445,0.15401764132580653,0.6889330031386363,0.0007344707769292776,0.13315402362563752,0.00010670462294296367,906.0714285714287,4,4
mqt,1500,Naive Confidence (NC),32.75003143327483,0.0,33.270517685035024,0.0,0.6690423624003449,0.0,0.31629733821396583,0.0,1190.4285714285713,5,0
mqt,1500,Temperature Scaling (TS),24.22209274953223,0.02174056750452482,23.86009637270838,0.02417388352286661,0.6690423624003449,0.0,0.21803651036705024,3.529163088716632e-05,1190.4285714285713,5,1
mqt,1500,Platt Scaling (1D),7.159929002236621,0.014035762300482504,5.325214145889366,0.04676800991643684,0.6688770414883181,0.0,0.1345539053367797,3.758696068612305e-05,1190.4285714285713,5,2
mqt,1500,Trajectory Platt (5D),6.558022425003992,0.12535232415088782,5.489801779883757,0.10756393476259613,0.738893126825285,0.000501450215823398,0.13189071167400185,3.719964234387414e-05,1190.4285714285713,5,3
mqt,1500,VCPS-5D (Our Method),6.5876117728033945,0.03541415070582885,5.066085607172163,0.055094852810777736,0.6890733681854952,0.00011602934047692887,0.1331350097068575,3.74241762631047e-05,1190.4285714285713,5,4
mqt,Full,Naive Confidence (NC),32.75003143327483,0.0,33.270517685035024,0.0,0.6690423624003449,0.0,0.31629733821396583,0.0,1240.4285714285713,6,0
mqt,Full,Temperature Scaling (TS),24.215092950207634,0.0,23.803786096539746,0.0,0.6690423624003449,0.0,0.21802508097697912,0.0,1240.4285714285713,6,1
mqt,Full,Platt Scaling (1D),7.156742230599614,0.0,5.385581180022378,0.0,0.6688770414883181,0.0,0.13455341709741747,0.0,1240.4285714285713,6,2
mqt,Full,Trajectory Platt (5D),6.501561210126129,0.0,5.562482313981854,0.0,0.7389892658807382,0.0,0.1319176264925317,0.0,1240.4285714285713,6,3
mqt,Full,VCPS-5D (Our Method),6.565794190932598,0.0,5.027446037426878,0.0,0.6889438092626599,0.0,0.13313910448183597,0.0,1240.4285714285713,6,4
