arch,budget,method,ada_ece_mean,ada_ece_std,ece_mean,ece_std,auroc_mean,auroc_std,brier_mean,brier_std,sample_size_mean,budget_order,method_order
m3,50,Naive Confidence (NC),40.46971884789466,0.0,40.43319176340998,0.0,0.6648974175389418,0.0,0.39726096913102876,0.0,50.0,0,0
m3,50,Temperature Scaling (TS),22.982098445910776,0.12968879116671783,22.21031932240863,0.13944874478114377,0.6648974175389418,0.0,0.22217826757131864,0.00048078258019875766,50.0,0,1
m3,50,Platt Scaling (1D),6.973424649513808,0.38304349890195283,5.523812249415289,0.5678090411594663,0.6844624646537788,0.011629134725862312,0.1395143563258122,0.0012936771602625502,50.0,0,2
m3,50,Trajectory Platt (5D),7.616179864096344,0.49882998728770456,6.785444628063557,0.7455420019079406,0.6639249074360274,0.014500793365635598,0.14380596039119395,0.0004848350896543757,50.0,0,3
m3,50,VCPS-5D (Our Method),7.962947619974116,0.49088277771733213,6.87335204814422,0.8177374451790631,0.6780582788178293,0.01101040716124352,0.14278081898740513,0.002965718426640034,50.0,0,4
m3,100,Naive Confidence (NC),40.46971884789466,0.0,40.43319176340998,0.0,0.6648974175389418,0.0,0.39726096913102876,0.0,100.0,1,0
m3,100,Temperature Scaling (TS),22.895351353772394,0.17223857562950662,21.974596337866522,0.23208496161923559,0.6648974175389418,0.0,0.22196816158905852,0.0004130196764152372,100.0,1,1
m3,100,Platt Scaling (1D),6.471481871983974,0.22769048618338875,4.943512571380272,0.43866666875876775,0.6820161703799679,0.01143473705698269,0.13806007040511684,0.000685043843631863,100.0,1,2
m3,100,Trajectory Platt (5D),7.116868957905652,0.2696362069705328,5.901754429543146,0.09932447133440303,0.6819918611547162,0.011067365925296762,0.13980157779791746,0.0007592612994435181,100.0,1,3
m3,100,VCPS-5D (Our Method),6.917208554846061,0.237680391111477,5.505195538229783,0.4693586508461392,0.6853681775377194,0.005851317609928474,0.1374817834302005,0.0010725728897786292,100.0,1,4
m3,200,Naive Confidence (NC),40.46971884789466,0.0,40.43319176340998,0.0,0.6648974175389418,0.0,0.39726096913102876,0.0,200.0,2,0
m3,200,Temperature Scaling (TS),22.86271735030119,0.1288914568305933,21.910968757638095,0.10117757953206301,0.6648974175389418,0.0,0.22169049613111497,0.0002620905982362556,200.0,2,1
m3,200,Platt Scaling (1D),6.20015267956161,0.08723433145418742,4.648987992184876,0.6639939081541417,0.6910335243661704,0.003185805001763371,0.1373040847196977,0.00023601092728239427,200.0,2,2
m3,200,Trajectory Platt (5D),6.550005735725075,0.2831926650698795,5.005467895459391,0.35957528613556244,0.6912041500172188,0.007879818677846043,0.1368122792720017,0.0005448781631531885,200.0,2,3
m3,200,VCPS-5D (Our Method),6.455795522129864,0.19260734227406467,5.028814590589272,0.4615641725230444,0.6881685234613237,0.0011920797309908446,0.13540080915894986,0.00027093181630610124,200.0,2,4
m3,500,Naive Confidence (NC),40.46971884789466,0.0,40.43319176340998,0.0,0.6648974175389418,0.0,0.39726096913102876,0.0,500.0,3,0
m3,500,Temperature Scaling (TS),22.801482759319047,0.03711621406620226,21.8362100617532,0.01372002890228934,0.6648974175389418,0.0,0.2215249453933732,4.953640482862355e-05,500.0,3,1
m3,500,Platt Scaling (1D),5.941631745191824,0.11234601140965003,4.081412458677408,0.17136990000327662,0.6892009894783158,0.0011047252025014119,0.13669544657613242,0.0002983647881730104,500.0,3,2
m3,500,Trajectory Platt (5D),6.025776152324707,0.23159604983584137,4.6531534636735445,0.1446509308699923,0.7032513776346183,0.003986966039177955,0.13488846363188614,0.00043775931556130416,500.0,3,3
