dataset,arch,budget,effective_n,is_capped,seed,method,adaptive_ece_percent,ece_percent,auroc,brier,adaptive_ece,ece
ai2d,m3,50,50,False,42,Naive Confidence (NC),41.999016251541335,41.99901625154132,0.6142882799671593,0.4199892636236126,0.4199901625154133,0.4199901625154132
ai2d,m3,50,50,False,42,Temperature Scaling (TS),12.183677193205748,8.617470142125832,0.6142882799671593,0.24769321328641017,0.12183677193205748,0.08617470142125831
ai2d,m3,50,50,False,42,Platt Scaling (1D),7.8164832346513,5.878402272082797,0.6142882799671593,0.23655364511964705,0.078164832346513,0.058784022720827965
ai2d,m3,50,50,False,42,Trajectory Platt (5D),20.121787171573487,19.55358118912682,0.454061473727422,0.29214881063455916,0.20121787171573488,0.1955358118912682
ai2d,m3,50,50,False,42,VCPS-5D (Our Method),20.53004021255436,21.819251156570353,0.48005182676518887,0.3013971259071533,0.2053004021255436,0.21819251156570352
ai2d,m3,50,50,False,43,Naive Confidence (NC),41.999016251541335,41.99901625154132,0.6142882799671593,0.4199892636236126,0.4199901625154133,0.4199901625154132
ai2d,m3,50,50,False,43,Temperature Scaling (TS),12.183677193205748,8.617470142125832,0.6142882799671593,0.24769321328641017,0.12183677193205748,0.08617470142125831
ai2d,m3,50,50,False,43,Platt Scaling (1D),7.792932993636051,5.227661886270088,0.6142882799671593,0.23720783545400384,0.07792932993636051,0.05227661886270088
ai2d,m3,50,50,False,43,Trajectory Platt (5D),8.941161507796053,6.670385355185275,0.6063988095238095,0.25203875339465104,0.08941161507796054,0.06670385355185275
ai2d,m3,50,50,False,43,VCPS-5D (Our Method),12.197867172425156,12.282729910514304,0.638739224137931,0.24149854114337374,0.12197867172425156,0.12282729910514303
ai2d,m3,50,50,False,44,Naive Confidence (NC),41.999016251541335,41.99901625154132,0.6142882799671593,0.4199892636236126,0.4199901625154133,0.4199901625154132
ai2d,m3,50,50,False,44,Temperature Scaling (TS),12.183677193205748,8.617470142125832,0.6142882799671593,0.24769321328641017,0.12183677193205748,0.08617470142125831
ai2d,m3,50,50,False,44,Platt Scaling (1D),8.56326080048434,5.203252444477751,0.6142882799671593,0.2383103345748564,0.0856326080048434,0.0520325244447775
ai2d,m3,50,50,False,44,Trajectory Platt (5D),9.001576989889145,7.623194813728332,0.6627924876847291,0.23280945034834155,0.09001576989889144,0.07623194813728332
ai2d,m3,50,50,False,44,VCPS-5D (Our Method),10.12685104671856,6.748501454403918,0.6558266625615764,0.2306197642789862,0.1012685104671856,0.06748501454403918
ai2d,m3,50,50,False,45,Naive Confidence (NC),41.999016251541335,41.99901625154132,0.6142882799671593,0.4199892636236126,0.4199901625154133,0.4199901625154132
ai2d,m3,50,50,False,45,Temperature Scaling (TS),12.183677193205748,8.617470142125832,0.6142882799671593,0.24769321328641017,0.12183677193205748,0.08617470142125831
ai2d,m3,50,50,False,45,Platt Scaling (1D),7.986894540387833,5.3596750448067985,0.6142882799671593,0.23691636713083217,0.07986894540387833,0.053596750448067984
ai2d,m3,50,50,False,45,Trajectory Platt (5D),10.12198685109615,9.527103036642073,0.6607142857142858,0.2303191822465669,0.1012198685109615,0.09527103036642073
ai2d,m3,50,50,False,45,VCPS-5D (Our Method),9.434826219986531,8.29246592834718,0.6452303981937604,0.23462610919313345,0.09434826219986532,0.08292465928347181
ai2d,m3,50,50,False,46,Naive Confidence (NC),41.999016251541335,41.99901625154132,0.6142882799671593,0.4199892636236126,0.4199901625154133,0.4199901625154132
ai2d,m3,50,50,False,46,Temperature Scaling (TS),12.183677193205748,8.617470142125832,0.6142882799671593,0.24769321328641017,0.12183677193205748,0.08617470142125831
ai2d,m3,50,50,False,46,Platt Scaling (1D),9.428449452636418,0.2714667509241653,0.6142882799671593,0.2413916538113732,0.09428449452636417,0.002714667509241653
ai2d,m3,50,50,False,46,Trajectory Platt (5D),12.235667400062084,11.609950363636017,0.5650271962233169,0.2409907310701211,0.12235667400062084,0.11609950363636017
ai2d,m3,50,50,False,46,VCPS-5D (Our Method),10.428754297437148,7.739491996808759,0.6565963669950738,0.2328378927583956,0.10428754297437148,0.07739491996808759
ai2d,m3,100,100,False,42,Naive Confidence (NC),41.999016251541335,41.99901625154132,0.6142882799671593,0.4199892636236126,0.4199901625154133,0.4199901625154132
ai2d,m3,100,100,False,42,Temperature Scaling (TS),12.183677193205748,8.617470142125832,0.6142882799671593,0.24769321328641017,0.12183677193205748,0.08617470142125831
ai2d,m3,100,100,False,42,Platt Scaling (1D),8.015001933874066,5.790162304052897,0.6142882799671593,0.2369588369162854,0.08015001933874066,0.05790162304052897
ai2d,m3,100,100,False,42,Trajectory Platt (5D),13.44116636551917,13.576191825792193,0.5161253078817735,0.25629892926439773,0.1344116636551917,0.13576191825792194
ai2d,m3,100,100,False,42,VCPS-5D (Our Method),7.976763889868743,7.313129783804424,0.5526606116584565,0.24701148782709942,0.07976763889868743,0.07313129783804424
ai2d,m3,100,100,False,43,Naive Confidence (NC),41.999016251541335,41.99901625154132,0.6142882799671593,0.4199892636236126,0.4199901625154133,0.4199901625154132
