dataset,arch,budget,effective_n,is_capped,seed,method,adaptive_ece_percent,ece_percent,auroc,brier,adaptive_ece,ece
ai2d,mqt,50,50,False,42,Naive Confidence (NC),26.924747750163082,27.15036953985691,0.7457631386769408,0.28872155474471417,0.2692474775016308,0.2715036953985691
ai2d,mqt,50,50,False,42,Temperature Scaling (TS),13.947056769712669,13.863103440596323,0.7457631386769408,0.22186653578999646,0.13947056769712668,0.13863103440596322
ai2d,mqt,50,50,False,42,Platt Scaling (1D),11.180177786362549,9.778736786640671,0.7457631386769408,0.21089564262740607,0.1118017778636255,0.09778736786640671
ai2d,mqt,50,50,False,42,Trajectory Platt (5D),10.839000124484304,9.083562601357698,0.6978167258442245,0.21816597608661606,0.10839000124484305,0.09083562601357699
ai2d,mqt,50,50,False,42,VCPS-5D (Our Method),7.251814688476102,6.171723473992905,0.7372264611820403,0.20538023348856516,0.07251814688476102,0.06171723473992906
ai2d,mqt,50,50,False,43,Naive Confidence (NC),26.924747750163082,27.15036953985691,0.7457631386769408,0.28872155474471417,0.2692474775016308,0.2715036953985691
ai2d,mqt,50,50,False,43,Temperature Scaling (TS),13.262440362807979,12.141615533545972,0.7457631386769408,0.2201277477620784,0.13262440362807978,0.12141615533545971
ai2d,mqt,50,50,False,43,Platt Scaling (1D),7.9894843359975525,4.00846944524618,0.7457631386769408,0.20088554816824583,0.07989484335997553,0.0400846944524618
ai2d,mqt,50,50,False,43,Trajectory Platt (5D),10.913521111011505,8.632024139165875,0.7299992445418146,0.20853441926254723,0.10913521111011505,0.08632024139165875
ai2d,mqt,50,50,False,43,VCPS-5D (Our Method),10.405462437157018,7.574223107559861,0.7441011306690841,0.20083119400952754,0.10405462437157019,0.07574223107559862
ai2d,mqt,50,50,False,44,Naive Confidence (NC),26.924747750163082,27.15036953985691,0.7457631386769408,0.28872155474471417,0.2692474775016308,0.2715036953985691
ai2d,mqt,50,50,False,44,Temperature Scaling (TS),12.674213277868244,11.438567796380626,0.7457631386769408,0.21935730451300026,0.12674213277868243,0.11438567796380626
