dataset,arch,budget,method,adaptive_ece_percent_mean,adaptive_ece_percent_std,ece_percent_mean,ece_percent_std,auroc_mean,auroc_std,brier_mean,brier_std,effective_n_mean,effective_n_std,is_capped
ai2d,m3,100,Naive Confidence (NC),41.79891250919083,0.0,41.798912509190835,0.0,0.5978230487183281,0.0,0.4179907627810639,0.0,100.0,0.0,False
ai2d,m3,100,Platt Scaling (1D),6.804992516192894,2.3069733909394006,5.957266394199854,3.5604936275643806,0.5978230487183281,0.0,0.2441796277261883,0.007485852526932959,100.0,0.0,False
ai2d,m3,100,Temperature Scaling (TS),9.375854045585637,0.0,8.563798227600211,0.0,0.5978230487183281,0.0,0.24740113457961663,0.0,100.0,0.0,False
ai2d,m3,100,Trajectory Platt (5D),9.406591982697137,2.7685945705036827,7.133724009846337,2.7453401517541303,0.6324175011098505,0.014310851672072248,0.23737865763642702,0.008674278418194955,100.0,0.0,False
ai2d,m3,100,VCPS-5D (Our Method),9.61751808992275,1.4490901157576301,7.834253701868155,2.4546048475966606,0.631018267317779,0.01128215350432035,0.23742918888766792,0.009027544589009116,100.0,0.0,False
ai2d,m3,1000,Naive Confidence (NC),41.79891250919083,0.0,41.798912509190835,0.0,0.5978230487183281,0.0,0.4179907627810639,0.0,1000.0,0.0,False
ai2d,m3,1000,Platt Scaling (1D),5.315467531180606,0.356985062351153,3.547674073659178,1.4006465488142037,0.5978230487183281,0.0,0.23966013461833707,0.0008643716200100555,1000.0,0.0,False
ai2d,m3,1000,Temperature Scaling (TS),9.375854045585637,0.0,8.563798227600211,0.0,0.5978230487183281,0.0,0.24740113457961663,0.0,1000.0,0.0,False
ai2d,m3,1000,Trajectory Platt (5D),8.858204231858254,0.9838900049855999,6.168189828991891,1.3778579514716383,0.6398181489337214,0.003765860333740156,0.2317134502690373,0.0009823712933693446,1000.0,0.0,False
ai2d,m3,1000,VCPS-5D (Our Method),9.03591045232241,0.8604415863780526,6.263799213591615,0.9165204068613325,0.6350630559529095,0.002960071833433543,0.23252331817439692,0.0009987301201589561,1000.0,0.0,False
ai2d,m3,1500,Naive Confidence (NC),41.79891250919083,0.0,41.798912509190835,0.0,0.5978230487183281,0.0,0.4179907627810639,0.0,1500.0,0.0,False
ai2d,m3,1500,Platt Scaling (1D),5.1546684121352495,0.14751017184156068,3.1246596150978054,0.6576207098819454,0.5978230487183281,0.0,0.23933303579049073,0.00034571835696239287,1500.0,0.0,False
ai2d,m3,1500,Temperature Scaling (TS),9.375854045585637,0.0,8.563798227600211,0.0,0.5978230487183281,0.0,0.24740113457961663,0.0,1500.0,0.0,False
ai2d,m3,1500,Trajectory Platt (5D),9.909269840121272,0.7180342294873593,6.422549182772637,0.7750720884523796,0.6412190269488154,0.003382349998672609,0.23136083796119392,0.0008442973028957997,1500.0,0.0,False
ai2d,m3,1500,VCPS-5D (Our Method),8.706753418130667,0.8922013269072508,5.5201929995595185,0.760516034541665,0.6359838208454595,0.001540427262260716,0.23227342271073576,0.00045021311685611407,1500.0,0.0,False
ai2d,m3,200,Naive Confidence (NC),41.79891250919083,0.0,41.798912509190835,0.0,0.5978230487183281,0.0,0.4179907627810639,0.0,200.0,0.0,False
ai2d,m3,200,Platt Scaling (1D),5.976821576710762,0.9193384323465608,5.225294330375018,1.4312281533849727,0.5978230487183281,0.0,0.2414174851092102,0.002962523697409728,200.0,0.0,False
ai2d,m3,200,Temperature Scaling (TS),9.375854045585637,0.0,8.563798227600211,0.0,0.5978230487183281,0.0,0.24740113457961663,0.0,200.0,0.0,False
ai2d,m3,200,Trajectory Platt (5D),8.596656243205071,1.0496811975365603,6.650458469390868,0.9466696185892811,0.6280060507407225,0.014352115868477568,0.23616716835294746,0.00459975369229847,200.0,0.0,False
ai2d,m3,200,VCPS-5D (Our Method),9.553923185543356,1.4382100060062109,7.4982531663181735,1.1549816421450607,0.6299593876913465,0.007621102301283145,0.235599797520118,0.003937303551575782,200.0,0.0,False
ai2d,m3,50,Naive Confidence (NC),41.79891250919083,0.0,41.798912509190835,0.0,0.5978230487183281,0.0,0.4179907627810639,0.0,50.0,0.0,False
ai2d,m3,50,Platt Scaling (1D),6.957648604987516,2.6624987088208316,6.441247660978867,3.1837340186037655,0.5978230487183281,0.0,0.24430710278350926,0.00931454831380627,50.0,0.0,False
ai2d,m3,50,Temperature Scaling (TS),9.375854045585637,0.0,8.563798227600211,0.0,0.5978230487183281,0.0,0.24740113457961663,0.0,50.0,0.0,False
ai2d,m3,50,Trajectory Platt (5D),11.97580360022615,1.052692468185355,9.097346073065506,1.4392409243739872,0.5831006757756623,0.04424085392223598,0.24679364388011518,0.00914871775041445,50.0,0.0,False
ai2d,m3,50,VCPS-5D (Our Method),10.922032335657224,2.642408390406537,9.752739122497362,3.501164921605439,0.601021062496917,0.039629484402017856,0.24849647455491994,0.015889764299140168,50.0,0.0,False
ai2d,m3,500,Naive Confidence (NC),41.79891250919083,0.0,41.798912509190835,0.0,0.5978230487183281,0.0,0.4179907627810639,0.0,500.0,0.0,False
ai2d,m3,500,Platt Scaling (1D),5.370353256663834,0.346579824412638,3.784908385588575,1.1717156645332676,0.5978230487183281,0.0,0.23986029100128964,0.0008456331776649522,500.0,0.0,False
ai2d,m3,500,Temperature Scaling (TS),9.375854045585637,0.0,8.563798227600211,0.0,0.5978230487183281,0.0,0.24740113457961663,0.0,500.0,0.0,False
ai2d,m3,500,Trajectory Platt (5D),8.137388308644296,1.1879172945535896,6.370807675719261,1.4705982073172146,0.6375063713642118,0.0019205851636921616,0.23316974453362968,0.0012247731763423311,500.0,0.0,False
ai2d,m3,500,VCPS-5D (Our Method),8.36328642080477,0.46448804971891045,6.34537956428647,1.1628500290577481,0.6333892369160953,0.0033782001510224494,0.23314978414238138,0.001161398269685301,500.0,0.0,False
ai2d,m3,Full,Naive Confidence (NC),41.79891250919083,0.0,41.798912509190835,0.0,0.5978230487183281,0.0,0.4179907627810639,0.0,2000.0,0.0,True
ai2d,m3,Full,Platt Scaling (1D),5.19179939888838,0.0,3.4906602599364396,0.0,0.5978230487183281,0.0,0.23941953769659055,0.0,2000.0,0.0,True
ai2d,m3,Full,Temperature Scaling (TS),9.375854045585637,0.0,8.563798227600211,0.0,0.5978230487183281,0.0,0.24740113457961663,0.0,2000.0,0.0,True
ai2d,m3,Full,Trajectory Platt (5D),8.833204042911532,0.0,7.206253421306611,0.0,0.6445765303605782,0.0,0.23068854071853223,0.0,2000.0,0.0,True
ai2d,m3,Full,VCPS-5D (Our Method),8.07232073670222,0.0,6.186040132961869,0.0,0.6369966622272645,0.0,0.23205867439582445,0.0,2000.0,0.0,True
chartqa,m3,100,Naive Confidence (NC),70.7028782710433,0.0,70.7028782710433,0.0,0.8349694749694748,0.0,0.6077089198754193,0.0,100.0,0.0,False
chartqa,m3,100,Platt Scaling (1D),4.900372787409905,1.7597603144178875,3.595744937740716,1.180799324308091,0.8349694749694748,0.0,0.07367678445478754,0.004034326416392014,100.0,0.0,False
chartqa,m3,100,Temperature Scaling (TS),45.067879921215095,0.0,45.447646257919544,0.0,0.8349694749694748,0.0,0.2775349475496193,0.0,100.0,0.0,False
chartqa,m3,100,Trajectory Platt (5D),5.419553849345538,1.3647331319382996,4.776155373512302,1.5294180408876992,0.7159169719169719,0.13569086101151542,0.07984915167958327,0.007599706645805772,100.0,0.0,False
chartqa,m3,100,VCPS-5D (Our Method),4.7445333696316,1.6027400289739198,3.9337329633128375,1.9850285717288778,0.8212454212454212,0.01567381342728713,0.0754102868873025,0.0047006571362601095,100.0,0.0,False
chartqa,m3,1000,Naive Confidence (NC),70.7028782710433,0.0,70.7028782710433,0.0,0.8349694749694748,0.0,0.6077089198754193,0.0,1000.0,0.0,False
chartqa,m3,1000,Platt Scaling (1D),2.3820582645813437,0.06726720328061717,2.8180621814481452,0.5793548317858761,0.8349694749694748,0.0,0.06847392750412087,0.00014535990094144616,1000.0,0.0,False
chartqa,m3,1000,Temperature Scaling (TS),45.067879921215095,0.0,45.447646257919544,0.0,0.8349694749694748,0.0,0.2775349475496193,0.0,1000.0,0.0,False
chartqa,m3,1000,Trajectory Platt (5D),2.9603922744281594,0.7392408561062791,3.056871956307441,0.3891035022179671,0.825953601953602,0.012071774232771245,0.068331813544969,0.0007873571309536349,1000.0,0.0,False
chartqa,m3,1000,VCPS-5D (Our Method),2.412214562517199,0.4131557920495357,3.2462202542618916,0.3937737873485151,0.8360634920634921,0.001463002012174772,0.06823091530360241,0.0002315125922642188,1000.0,0.0,False
chartqa,m3,1500,Naive Confidence (NC),70.7028782710433,0.0,70.7028782710433,0.0,0.8349694749694748,0.0,0.6077089198754193,0.0,1500.0,0.0,False
chartqa,m3,1500,Platt Scaling (1D),2.3578791937965535,0.034838608765663324,3.052787823266512,0.10015438132096434,0.8349694749694748,0.0,0.06846811735073181,5.754278332210342e-05,1500.0,0.0,False
chartqa,m3,1500,Temperature Scaling (TS),45.067879921215095,0.0,45.447646257919544,0.0,0.8349694749694748,0.0,0.2775349475496193,0.0,1500.0,0.0,False
chartqa,m3,1500,Trajectory Platt (5D),3.7859717159532016,0.5932602969259534,3.804969247039408,1.1339923707868191,0.8257582417582418,0.007555588704837222,0.0681873755859633,0.0003978493033509004,1500.0,0.0,False
chartqa,m3,1500,VCPS-5D (Our Method),2.198022488462808,0.2844403319704928,2.7481722332443597,0.29495523340684604,0.8372063492063493,0.0011356755458477314,0.0681434426911108,3.739411466200168e-05,1500.0,0.0,False
chartqa,m3,200,Naive Confidence (NC),70.7028782710433,0.0,70.7028782710433,0.0,0.8349694749694748,0.0,0.6077089198754193,0.0,200.0,0.0,False
chartqa,m3,200,Platt Scaling (1D),3.3240715796013958,0.8106118549986728,3.3911954968961924,1.1536164216446325,0.8349694749694748,0.0,0.06940397872839084,0.000700354302006031,200.0,0.0,False
