K_features,subset,adaptive_ece_percent,auroc,brier_score,max_vif
1,x1,2.6203902024027985,0.8421891845493563,0.15302084176200711,1.0
2,"x1, x15",2.8318974516993642,0.8421534763948497,0.1529384564299614,1.0001747931845721
3,"x1, x15, x12",3.281204588348283,0.8421424892703862,0.15289689089252695,1.7773076960737553
5,"x1, x15, x12, x19, x21",3.281109282667216,0.8421356223175966,0.15289686980284342,1000000.0
7,"x1, x15, x12, x19, x21, x11, x18",2.7768443186422322,0.8421205150214592,0.15290869977966687,1000000.0
10,"x1, x15, x12, x19, x21, x11, x18, x6, x14, x4",3.396233394754664,0.8439814592274678,0.1520493163931208,1000000.0
18,"x1, x3, x4, x6, x8, x9, x10, x11, x12, x13, x14, x15, x17, x18, x19, x20, x21, x22",2.601204418356579,0.8484600858369099,0.14990231004082805,1000000.0
