feature,adaptive_ece_percent,auroc,weight
x4,2.8345229684447757,0.6807025021310736,-2.6334663121329775
x1,3.6496446579986324,0.8346981204124061,0.8281398267794438
x16,4.1135435639941065,0.5,0.3284575358378716
x5,5.065321491072412,0.5569536640965213,0.29114912150654076
x2,5.1687168506074865,0.6805906448763591,2.4267999658001482
x3,5.635930409602648,0.6470865042293614,-10.772654494553523
x10,6.537629061488402,0.6350117064402779,-3.9739560377641525
x9,8.191376430573495,0.5699088556231413,2.569365369324681
x12,8.380634472173252,0.591736448879306,6.599906542000128
x7,8.50416669456268,0.5239278096420954,-0.5390109791272929
x8,9.440270304936833,0.4293775722347152,0.7731732699745382
x15,9.455084210889934,0.5476617976617977,1.5023105063900977
x6,9.82887795730421,0.6804971090685377,-3.0878465778030026
x11,9.841574852363614,0.47185343613915043,-0.017334166574223757
x13,12.409765793664162,0.4660802517945375,-0.15131249573212907
x17,12.900917692375256,0.5339197482054625,0.3071480209952576
x14,14.732823316927647,0.5239046667618096,0.06522341162138899
