feature,adaptive_ece_percent,auroc,weight
x7,3.0046628778673004,0.7094854070660522,-2.872827670031947
x3,3.428842484768803,0.706269519130019,2.498484927293187
x2,4.007047589858099,0.6287499618518632,0.5211479071287652
x1,6.108047766652449,0.8263293354085921,0.48066577865838533
x6,8.108145148073556,0.6270110426140121,-3.119705112964035
x9,8.567381636014394,0.5816599017303994,4.64757788338289
x4,8.85524055619465,0.754492578915779,-14.486532837455966
x13,8.900723300296136,0.49896364228237755,3.4611467450761433
x15,9.552107929394186,0.5713039541815444,1.5800926894750398
x10,10.449557250474175,0.5449830113630584,0.6136668077077814
x5,11.045708153573106,0.6312791833246865,-0.5498305450101618
x12,11.33277732182105,0.5069906460768456,-0.4933262307934533
x8,12.179185336704016,0.5564821314127019,-0.4879847325551768
x16,13.569594608394,0.4954705445519374,-0.19268151209326015
x14,13.64280074329121,0.49546927294737586,-0.05129107613556234
x17,15.023540889623032,0.48255358541622156,-0.012700463381030078
x11,17.624740672015005,0.5040080975778476,0.05078761515881604
