K_features,subset,adaptive_ece_percent,auroc,brier_score,max_vif
1,x1,6.108047766652449,0.8263293354085921,0.17397967519474833,1.0
2,"x1, x4",3.249174107288427,0.831155074719484,0.16807057461342426,1.2214154395563284
3,"x1, x4, x5",2.704662567397148,0.831353445031078,0.1674086309335226,1.3566584708759528
5,"x1, x4, x5, x6, x14",2.61533163854239,0.8334363333028149,0.1662858625667915,1.3817241877395752
7,"x1, x4, x5, x6, x14, x10, x16",2.3982679984080875,0.8331591235084078,0.16642232200416565,1.4985983061658303
10,"x1, x4, x5, x6, x14, x10, x16, x17, x13, x2",3.007568037327122,0.8343468021688487,0.16581303398437136,5.932357515449321
17,"x1, x2, x3, x4, x5, x6, x7, x8, x9, x10, x11, x12, x13, x14, x15, x16, x17",3.359004973857413,0.8446086509801529,0.1599825078458108,80.60527634679144
