feature_dropped,baseline_ece,loo_ece,delta_ece
x1,2.9094432321460806,6.420209688395998,3.5107664562499172
x7,2.9094432321460806,3.570982098402246,0.6615388662561652
x3,2.9094432321460806,3.3582231071774435,0.44877987503136296
x14,2.9094432321460806,3.347326674357382,0.4378834422113016
x8,2.9094432321460806,3.319341693257474,0.4098984611113936
x15,2.9094432321460806,3.2973716097047676,0.38792837755868703
x13,2.9094432321460806,3.2960466437655587,0.3866034116194781
x10,2.9094432321460806,3.2644262803142228,0.3549830481681422
x6,2.9094432321460806,3.2601830843983244,0.3507398522522438
x9,2.9094432321460806,3.1867228069124045,0.2772795747663239
x16,2.9094432321460806,2.9370304334894173,0.027587201343336698
x12,2.9094432321460806,2.872801627927177,-0.03664160421890372
x11,2.9094432321460806,2.586099738614763,-0.3233434935313175
x2,2.9094432321460806,2.5540673399617915,-0.3553758921842891
x17,2.9094432321460806,2.5225108488267605,-0.3869323833193201
x5,2.9094432321460806,2.5115709958659784,-0.39787223628010215
x4,2.9094432321460806,2.4704752094172675,-0.4389680227288131
