cardinality,n_subsets,best_subset,best_has_x1,best_ada_ece,best_ece,best_brier,best_auroc,worst_subset,worst_ada_ece,mean_ada_ece,std_ada_ece,min_ada_ece,max_ada_ece,mean_auroc,std_auroc
1,5,x5,False,0.02772762800528117,0.014490841836746987,0.1512982281585942,0.5770850292656383,x1,0.04561455777446293,0.03533802566991341,0.007822012674232307,0.02772762800528117,0.04561455777446293,0.6102525006689434,0.037830969149088296
2,10,x2+x4,False,0.02585189253217763,0.010825948537295573,0.14967015369670392,0.5921626259684271,x3+x4,0.04693011543369236,0.035664334183935845,0.007012888472528465,0.02585189253217763,0.04693011543369236,0.665056467682538,0.036857485035005175
3,10,x2+x4+x5,False,0.025655206986925277,0.017207947779002666,0.14605596683114136,0.6433756368785447,x2+x3+x4,0.0430336600054458,0.03243099266055588,0.004821011913900184,0.025655206986925277,0.0430336600054458,0.6985102932004481,0.02946889112306749
4,5,x1+x2+x3+x4,True,0.029229661106672737,0.02504328933433148,0.12941079828866014,0.7281065908116905,x2+x3+x4+x5,0.03439187347903044,0.03152584146254815,0.001947823462863151,0.029229661106672737,0.03439187347903044,0.7203362079296547,0.019953706626066815
5,1,x1+x2+x3+x4+x5,True,0.031650048229584206,0.02627185607295827,0.1291297381913435,0.7358897082297773,x1+x2+x3+x4+x5,0.031650048229584206,0.031650048229584206,0.0,0.031650048229584206,0.031650048229584206,0.7358897082297773,0.0
