dataset,cardinality,best_subset,ada_ece,ece,brier,auroc
pope,1,x1,0.019150549584461718,0.006422973451286296,0.0839963791423563,0.8197595847108636
pope,2,x1+x3,0.007502106385189059,0.013485433136869354,0.08460271385867223,0.8203584478858534
pope,3,x1+x4+x5,0.010679540969344118,0.013901835332223616,0.08422664284392711,0.824047329041239
pope,4,x1+x3+x4+x5,0.011432695033949688,0.014950686328945023,0.08479310863221558,0.8218722811901862
pope,5,x1+x2+x3+x4+x5,0.016467565760329105,0.009909514486412219,0.08502721083894244,0.8196102314250914
scienceqa,1,x2,0.023021651220198076,0.008175339740902456,0.15356547024208572,0.5762310483067945
scienceqa,2,x2+x5,0.022623241493494466,0.008500207808787647,0.15362553899396877,0.5696692094333469
scienceqa,3,x2+x4+x5,0.015983713545314176,0.006019505980100634,0.1538011155047882,0.5680009697725363
scienceqa,4,x2+x3+x4+x5,0.03257357887986556,0.010195509475529897,0.15402684261861613,0.5685551255076153
scienceqa,5,x1+x2+x3+x4+x5,0.044611976192368515,0.03720271473638291,0.14845963468452641,0.6805075720185989
seedbench,1,x2,0.023891977943844178,0.006874152908563822,0.21151980201599882,0.5938454305402551
seedbench,2,x2+x4,0.01209740816608476,0.0016458035346515554,0.2102293800490832,0.6016105517751403
seedbench,3,x1+x2+x4,0.02090125542667259,0.0075412366262278974,0.2108542194286484,0.5956019182656472
seedbench,4,x1+x2+x3+x5,0.02308244923154133,0.011215798056948903,0.21178277674259025,0.6118917723223964
seedbench,5,x1+x2+x3+x4+x5,0.023445769985793598,0.014354910090777906,0.21056741590796274,0.6178726641304911
textvqa,1,x5,0.0234731266887143,0.016994241801110945,0.23575103689943525,0.586928538665691
textvqa,2,x4+x5,0.02427470433392132,0.021880432846229512,0.20281825258537328,0.7298863374243376
textvqa,3,x2+x4+x5,0.021669602487121305,0.019916802551045776,0.20280464665069586,0.7303493261641334
textvqa,4,x1+x3+x4+x5,0.03450806200161582,0.038427989658491334,0.1576464692295531,0.8453206652720664
textvqa,5,x1+x2+x3+x4+x5,0.03816346326258558,0.03674721552025442,0.15744757154739372,0.8460000689346155
vizwiz-vqa,1,x1,0.021318946513871815,0.022788102753261718,0.17895687780724578,0.7913393537011454
vizwiz-vqa,2,x1+x4,0.020658371738027207,0.029393948748647123,0.17909522703910724,0.790796976228996
vizwiz-vqa,3,x1+x2+x5,0.020943752964756087,0.0257471471348926,0.17906259430014473,0.7908580517827755
vizwiz-vqa,4,x1+x2+x4+x5,0.019226991488597505,0.024267747675533153,0.17927852998906504,0.7899797587648398
vizwiz-vqa,5,x1+x2+x3+x4+x5,0.02625426301028495,0.024052255691574667,0.1792974382077724,0.7895230198409247
vqav2,1,x5,0.028752372769257753,0.014087099669030613,0.16660107724646633,0.5901620937160025
vqav2,2,x2+x3,0.0232564928889378,0.019850577027712972,0.14427731759925783,0.7601741429432762
vqav2,3,x2+x3+x4,0.019884036542026383,0.01632877135478367,0.1443987342837353,0.7607091399569172
vqav2,4,x2+x3+x4+x5,0.024731443569356637,0.020395321162497294,0.14384871985206765,0.7579916948082646
vqav2,5,x1+x2+x3+x4+x5,0.0355727008877229,0.03369735681461085,0.13932065882293024,0.7879015190329669
