dataset,cardinality,subset,has_x1,ada_ece,ece,brier,auroc,ada_ece_percent,ece_percent
chartqa,1,x3,False,0.05716164352329249,0.004672429819460856,0.08119160680849623,0.5241870843352613,5.716164352329249,0.46724298194608554
chartqa,1,x4,False,0.015954332845625016,0.0029895608785300105,0.07958798276918777,0.6355798184614718,1.5954332845625017,0.29895608785300104
chartqa,1,x5,False,0.013885730510665772,9.676870962463268e-05,0.08112718415226913,0.5355849388799282,1.3885730510665772,0.009676870962463268
chartqa,2,x1+x2,True,0.017649422512234298,0.019370772988010255,0.06918416897624304,0.808732676738136,1.7649422512234298,1.9370772988010254
chartqa,2,x1+x3,True,0.015382420103690495,0.015503595505633624,0.06965973152831287,0.8069188669695593,1.5382420103690495,1.5503595505633623
chartqa,2,x1+x4,True,0.01999343662148623,0.01711987848237262,0.06901707996122951,0.811239712390034,1.9993436621486231,1.711987848237262
chartqa,2,x1+x5,True,0.015262847823214474,0.01478023962153719,0.06958842546927986,0.8060710438366901,1.5262847823214474,1.478023962153719
chartqa,2,x2+x3,False,0.035467750637475315,0.011087955551336097,0.07974046845016804,0.6432702931045688,3.5467750637475315,1.1087955551336097
chartqa,2,x2+x4,False,0.017975540032061508,0.002089784162949916,0.07964335482025744,0.6300665063581812,1.7975540032061508,0.20897841629499161
chartqa,2,x2+x5,False,0.018129884014347522,0.010021448773195784,0.07969989144861594,0.6388549168818227,1.8129884014347522,1.0021448773195785
chartqa,2,x3+x4,False,0.031137185656412835,0.004572006860021179,0.0796511852507992,0.6418109738445087,3.1137185656412836,0.45720068600211794
chartqa,2,x3+x5,False,0.022005728665402433,0.005076085942739991,0.08113798117135054,0.5401706674859336,2.2005728665402433,0.5076085942739992
chartqa,2,x4+x5,False,0.015670684047384063,0.003429711421942078,0.07955846842858424,0.643031996707177,1.5670684047384063,0.34297114219420777
chartqa,3,x1+x2+x3,True,0.019048797385590923,0.018359014909632487,0.06925358175208574,0.8085948193181571,1.9048797385590923,1.8359014909632487
chartqa,3,x1+x2+x4,True,0.0223027457749062,0.018783646387884437,0.06918110729208822,0.8099753629096581,2.23027457749062,1.8783646387884438
chartqa,3,x1+x2+x5,True,0.016060886767395477,0.019515774053393595,0.06918483459091367,0.808411665888757,1.6060886767395477,1.9515774053393595
chartqa,3,x1+x3+x4,True,0.021192212207235474,0.017937828075423195,0.06908652293709758,0.8109679363335046,2.1192212207235475,1.7937828075423194
chartqa,3,x1+x3+x5,True,0.013245192779877889,0.015610538037937922,0.069658157832059,0.806619519429034,1.324519277987789,1.5610538037937922
chartqa,3,x1+x4+x5,True,0.020512466547487784,0.017801173842697603,0.06901775306516757,0.8111235182789092,2.0512466547487787,1.7801173842697602
chartqa,3,x2+x3+x4,False,0.020517370105466545,0.004439126531257834,0.07969724249841778,0.6408479412963717,2.0517370105466544,0.4439126531257834
chartqa,3,x2+x3+x5,False,0.030337637635925903,0.011224920014250272,0.07974959803107287,0.6456237162027764,3.0337637635925905,1.1224920014250273
chartqa,3,x2+x4+x5,False,0.015127082879318555,0.0010616738079258464,0.07962532124313668,0.6419626170064853,1.5127082879318556,0.10616738079258464
chartqa,3,x3+x4+x5,False,0.02377836699003192,0.0022784254871259183,0.07963691728847859,0.6452711950859739,2.377836699003192,0.22784254871259182
chartqa,4,x1+x2+x3+x4,True,0.023032038560950995,0.018942758393905655,0.06924671191381446,0.8098887096742429,2.3032038560950996,1.8942758393905654
chartqa,4,x1+x2+x3+x5,True,0.01650399910664375,0.018090255094458895,0.06925064912615683,0.8081241346985156,1.6503999106643752,1.8090255094458896
chartqa,4,x1+x2+x4+x5,True,0.01991367012659152,0.018058959318693075,0.0691804608715831,0.8097803931299739,1.991367012659152,1.8058959318693075
chartqa,4,x1+x3+x4+x5,True,0.01816879586359744,0.01756360222662684,0.0690827356800039,0.8108537116140937,1.8168795863597442,1.756360222662684
chartqa,4,x2+x3+x4+x5,False,0.02025795253685951,0.003885607868112227,0.07969603840744903,0.6437527940744942,2.025795253685951,0.38856078681122275
chartqa,5,x1+x2+x3+x4+x5,True,0.022996434197676236,0.018500590393037135,0.06923873965220291,0.809551943691152,2.2996434197676234,1.8500590393037135
docvqa,1,x1,True,0.01272353259627995,0.004388917203538135,0.04021394408293365,0.7740623811335108,1.272353259627995,0.4388917203538135
docvqa,1,x2,False,0.012031118625046782,0.0022026494268998402,0.04167824563804832,0.6392715861544314,1.2031118625046782,0.22026494268998403
docvqa,1,x3,False,0.014966594652420553,0.00332200572581486,0.041633467097408096,0.631517687333587,1.4966594652420553,0.332200572581486
docvqa,1,x4,False,0.012026967677546806,0.0006150551848602879,0.04158521193926107,0.6356409281095474,1.2026967677546807,0.06150551848602879
docvqa,1,x5,False,0.01484518305414261,0.0005916575660676541,0.04155133252334319,0.6469151768733359,1.484518305414261,0.05916575660676541
docvqa,2,x1+x2,True,0.01121779576641653,0.005101695228471805,0.03931778712627708,0.7752567516165841,1.121779576641653,0.5101695228471804
docvqa,2,x1+x3,True,0.009117869543942666,0.004185703904567396,0.040191650939991226,0.7759147965005705,0.9117869543942666,0.41857039045673955
docvqa,2,x1+x4,True,0.010895356396904523,0.003869243451630109,0.039028775476781755,0.7796995055154052,1.0895356396904523,0.3869243451630109
docvqa,2,x1+x5,True,0.010609456922188653,0.004167564800628159,0.040029903846271364,0.7819475085583873,1.0609456922188654,0.41675648006281585
docvqa,2,x2+x3,False,0.016935939505794622,0.00385191663926294,0.04119019178055396,0.6986230505895777,1.6935939505794622,0.385191663926294
docvqa,2,x2+x4,False,0.013833003192043712,0.0022646512733313817,0.04161679690998853,0.6354678585013314,1.3833003192043714,0.22646512733313817
docvqa,2,x2+x5,False,0.012910205817312994,0.002017914597705312,0.04117423383922288,0.6907759604412325,1.2910205817312994,0.2017914597705312
docvqa,2,x3+x4,False,0.015138118352558521,0.006686303489846275,0.041067376847360455,0.7088094332445798,1.513811835255852,0.6686303489846275
docvqa,2,x3+x5,False,0.011892947906581902,0.005159543977838675,0.04146457569520098,0.6649220235831116,1.1892947906581903,0.5159543977838675
docvqa,2,x4+x5,False,0.01258663874638172,0.0029686135061338316,0.041040267576392724,0.6941232407759604,1.258663874638172,0.29686135061338315
docvqa,3,x1+x2+x3,True,0.008665500440562177,0.004756976567542434,0.03902306924517365,0.782852795739825,0.8665500440562177,0.47569765675424336
docvqa,3,x1+x2+x4,True,0.007807979508399792,0.004514971315010231,0.03906525243759597,0.7795245340433625,0.7807979508399793,0.4514971315010231
docvqa,3,x1+x2+x5,True,0.008127895725719498,0.003807601443115796,0.03908552562097861,0.7825104602510461,0.8127895725719498,0.3807601443115796
docvqa,3,x1+x3+x4,True,0.01234470567888427,0.004202661367709968,0.03880725594384702,0.7875922403955877,1.234470567888427,0.42026613677099683
docvqa,3,x1+x3+x5,True,0.0074281561638898114,0.005570272456380804,0.04012158214853779,0.7790110308101941,0.7428156163889812,0.5570272456380804
docvqa,3,x1+x4+x5,True,0.009244428682563569,0.0062115418928192345,0.03879220328993533,0.786428299733739,0.9244428682563569,0.6211541892819235
docvqa,3,x2+x3+x4,False,0.015525153038992264,0.005068258592410727,0.04111883439430555,0.7055382274629137,1.5525153038992263,0.5068258592410727
docvqa,3,x2+x3+x5,False,0.013738647547295701,0.006241454838222461,0.04104569646851169,0.7126930391783948,1.3738647547295701,0.6241454838222461
docvqa,3,x2+x4+x5,False,0.00847202322037405,0.004846855022657659,0.04106296194825644,0.6917820464054774,0.847202322037405,0.48468550226576596
docvqa,3,x3+x4+x5,False,0.01284885368688278,0.0046711719578305345,0.04091298284563641,0.71934956257132,1.284885368688278,0.46711719578305344
docvqa,4,x1+x2+x3+x4,True,0.010425019143756728,0.004052445472501801,0.03884445625321483,0.786082160517307,1.0425019143756729,0.40524454725018005
docvqa,4,x1+x2+x3+x5,True,0.008252165458013707,0.007359615190359356,0.038985429473151055,0.7830315709395208,0.8252165458013707,0.7359615190359355
docvqa,4,x1+x2+x4+x5,True,0.00933583443103764,0.005056204794411359,0.03881574531215694,0.7864282997337391,0.9335834431037641,0.5056204794411359
docvqa,4,x1+x3+x4+x5,True,0.008956211322627056,0.004683167367992297,0.03875788889969237,0.7874857360213009,0.8956211322627056,0.46831673679922964
docvqa,4,x2+x3+x4+x5,False,0.010339510033961396,0.006868619054854417,0.0409527829868184,0.7174438950171168,1.0339510033961397,0.6868619054854417
docvqa,5,x1+x2+x3+x4+x5,True,0.00944117654876162,0.0027892309340915326,0.038789707434449164,0.7868276911373145,0.9441176548761621,0.2789230934091533
gqa,1,x1,True,0.03964478271281772,0.045035836918731684,0.2008239083586506,0.6802988451546896,3.964478271281772,4.503583691873168
gqa,1,x2,False,0.03497525469000503,0.026383242332801513,0.20887695248233182,0.6179684182217099,3.497525469000503,2.6383242332801515
gqa,1,x3,False,0.1110531842809014,0.02446690884356664,0.2220988619951339,0.47365889920176735,11.10531842809014,2.4466908843566637
gqa,1,x4,False,0.03439244955891825,0.006461469366479875,0.20676449927571375,0.6262593380098188,3.439244955891825,0.6461469366479875
gqa,1,x5,False,0.0334364623329365,0.007654021850673159,0.2211263109500771,0.5349186229531364,3.34364623329365,0.7654021850673159
gqa,2,x1+x2,True,0.03192975944589758,0.025116469559257087,0.19316912128629934,0.7145245753418139,3.1929759445897576,2.5116469559257086
gqa,2,x1+x3,True,0.039492020828860566,0.04521921145063383,0.2009998071645146,0.6799405020696657,3.949202082886057,4.521921145063383
gqa,2,x1+x4,True,0.029348593253689752,0.02280415189838706,0.1915949232777586,0.7210226981864379,2.934859325368975,2.280415189838706
gqa,2,x1+x5,True,0.04113175885899242,0.03686863288285401,0.20107096936304633,0.6801856462324587,4.113175885899242,3.686863288285401
gqa,2,x2+x3,False,0.06011056019626637,0.023330853085366022,0.20906650203235821,0.6128351715540482,6.011056019626637,2.333085308536602
gqa,2,x2+x4,False,0.031265549910305744,0.016485310233193873,0.206717471562432,0.6245772164457124,3.1265549910305745,1.6485310233193873
gqa,2,x2+x5,False,0.028198274826183863,0.024124646722747597,0.208444854790287,0.6402217401053687,2.8198274826183862,2.41246467227476
gqa,2,x3+x4,False,0.05554115740109242,0.00888324611931983,0.20697961223728684,0.6210543506239279,5.554115740109242,0.888324611931983
gqa,2,x3+x5,False,0.04137988497604584,0.022324993967692306,0.2212226597370523,0.5353616849767726,4.137988497604584,2.2324993967692306
gqa,2,x4+x5,False,0.01665456428125754,0.012477074694685165,0.20621013948709288,0.6457735343803873,1.6654564281257538,1.2477074694685164
gqa,3,x1+x2+x3,True,0.03371202331046073,0.02633779591525413,0.1934222515929075,0.7141478464445805,3.3712023310460726,2.633779591525413
gqa,3,x1+x2+x4,True,0.027498776408125147,0.030168426867158378,0.19171331523850507,0.7203543198367052,2.7498776408125147,3.016842686715838
gqa,3,x1+x2+x5,True,0.027828665345501,0.024876144542166086,0.19341530335568383,0.7140133776611661,2.7828665345501,2.4876144542166085
gqa,3,x1+x3+x4,True,0.02929863650338678,0.0219123925743734,0.19186149710334652,0.7206672391503881,2.929863650338678,2.19123925743734
gqa,3,x1+x3+x5,True,0.039919309342658395,0.033318742641079646,0.20116116248283353,0.6803522000607092,3.9919309342658393,3.331874264107965
gqa,3,x1+x4+x5,True,0.027552139117201592,0.022069383500315905,0.1918897098161619,0.7210937178924235,2.7552139117201593,2.2069383500315904
gqa,3,x2+x3+x4,False,0.04560841008096306,0.024432004226508666,0.20692143129589885,0.6202338386908148,4.560841008096306,2.443200422650867
gqa,3,x2+x3+x5,False,0.0257888464739192,0.023047176104089635,0.20853715844660578,0.6392408029480748,2.57888464739192,2.3047176104089635
gqa,3,x2+x4+x5,False,0.023702839420727723,0.020194378374896613,0.20622236670098465,0.6456084225766238,2.3702839420727724,2.019437837489661
gqa,3,x3+x4+x5,False,0.017799498414183053,0.014139078621256329,0.20632642287265313,0.6451996086345542,1.7799498414183053,1.413907862125633
gqa,4,x1+x2+x3+x4,True,0.030300964747133813,0.029041497323585817,0.19196443237969174,0.7199310856497654,3.0300964747133814,2.9041497323585816
gqa,4,x1+x2+x3+x5,True,0.029264036652057308,0.02499851647596948,0.19361377065191376,0.7138680936940991,2.9264036652057306,2.499851647596948
gqa,4,x1+x2+x4+x5,True,0.029596735172874464,0.022876517477346533,0.19198511394877146,0.7203063725225118,2.959673517287446,2.287651747734653
gqa,4,x1+x3+x4+x5,True,0.02642590414135847,0.02152826991756301,0.19210167560045607,0.7207854851583235,2.642590414135847,2.152826991756301
gqa,4,x2+x3+x4+x5,False,0.02045816239138753,0.01872136519069357,0.20632846662924048,0.6448008888638938,2.0458162391387527,1.8721365190693569
gqa,5,x1+x2+x3+x4+x5,True,0.031938723512873086,0.022482403481450426,0.1921883641047942,0.7200738460739802,3.193872351287309,2.2482403481450426
infographicvqa,1,x1,True,0.007557689969492259,4.328155313703015e-05,0.008325506972406633,0.5887934843158723,0.755768996949226,0.004328155313703015
infographicvqa,1,x2,False,0.007482149765146363,2.0733712706890242e-05,0.00833869487535498,0.4446397356845118,0.7482149765146363,0.002073371270689024
infographicvqa,1,x3,False,0.006415528129612142,4.380674640897669e-05,0.008338602340876007,0.3893082848306729,0.6415528129612142,0.004380674640897669
infographicvqa,1,x4,False,0.0055161455831356405,4.19926682493528e-06,0.008333133636040675,0.43306632858871663,0.5516145583135641,0.000419926682493528
infographicvqa,1,x5,False,0.005019119446872181,3.39811571570519e-05,0.008332352683558173,0.5092875391382854,0.501911944687218,0.0033981157157051897
infographicvqa,2,x1+x2,True,0.007983921913311145,4.7561275172844364e-05,0.008335317443626625,0.5634952649878023,0.7983921913311145,0.004756127517284436
infographicvqa,2,x1+x3,True,0.0070427287620677915,2.7491336337752068e-05,0.008329072299758994,0.5633031752434737,0.7042728762067791,0.0027491336337752068
infographicvqa,2,x1+x4,True,0.008124343169534753,5.287361285089692e-05,0.008329933572094125,0.575596918880501,0.8124343169534753,0.005287361285089692
infographicvqa,2,x1+x5,True,0.004461206502751818,5.029149759549871e-05,0.008324751471742997,0.5959008048560287,0.44612065027518183,0.005029149759549871
infographicvqa,2,x2+x3,False,0.008890727834834414,1.4395763535891143e-05,0.008347612154647228,0.3928811540751839,0.8890727834834414,0.0014395763535891143
infographicvqa,2,x2+x4,False,0.006523652480482958,5.9436283461675524e-05,0.008344151635566413,0.4385120728404311,0.6523652480482958,0.005943628346167552
infographicvqa,2,x2+x5,False,0.006693270807286594,3.236255484545189e-06,0.008340726169251553,0.44937474788221055,0.6693270807286594,0.0003236255484545189
infographicvqa,2,x3+x4,False,0.007486252398102762,3.351500443620273e-05,0.008341979313424631,0.3681592039800995,0.7486252398102762,0.0033515004436202728
infographicvqa,2,x3+x5,False,0.007934498494943064,4.4222079673228096e-05,0.008339741675081775,0.4343341209012851,0.7934498494943064,0.00442220796732281
infographicvqa,2,x4+x5,False,0.005194425431511905,2.0906798153062095e-05,0.008335467535351767,0.48445993968382023,0.5194425431511905,0.0020906798153062095
infographicvqa,3,x1+x2+x3,True,0.006642100249401985,4.4846686132801045e-06,0.008338642424757825,0.5371789700147909,0.6642100249401985,0.00044846686132801045
infographicvqa,3,x1+x2+x4,True,0.005831433161619605,5.261763718761303e-07,0.008345048873978703,0.5500297739103709,0.5831433161619606,5.261763718761303e-05
infographicvqa,3,x1+x2+x5,True,0.006271058817553995,2.684739208353576e-06,0.008332881851928018,0.5673370598743732,0.6271058817553995,0.0002684739208353576
infographicvqa,3,x1+x3+x4,True,0.0067937413155595055,3.517571960645095e-05,0.008333392004907058,0.5492998328819224,0.6793741315559505,0.0035175719606450953
infographicvqa,3,x1+x3+x5,True,0.005982469479068967,4.4576127644796806e-05,0.008329770171203291,0.5735031406673197,0.5982469479068967,0.004457612764479681
infographicvqa,3,x1+x4+x5,True,0.005598476199089146,2.4611367721841595e-05,0.008328210319301674,0.5838183599377629,0.5598476199089146,0.0024611367721841595
infographicvqa,3,x2+x3+x4,False,0.007862812833276321,2.5371924608176208e-05,0.008352861741708276,0.3907873758620027,0.7862812833276321,0.002537192460817621
infographicvqa,3,x2+x3+x5,False,0.00803704730450563,8.740394690688255e-06,0.008348319102488023,0.41660423749975983,0.8037047304505629,0.0008740394690688255
infographicvqa,3,x2+x4+x5,False,0.006271535043592887,3.826066050420865e-05,0.008346093531917302,0.43675445167982474,0.6271535043592887,0.003826066050420865
infographicvqa,3,x3+x4+x5,False,0.006185165865534699,3.255948128018035e-05,0.008342857083733793,0.42444149906836476,0.6185165865534699,0.0032559481280180352
infographicvqa,4,x1+x2+x3+x4,True,0.005894529113254117,2.5351109696324786e-05,0.008348744297946274,0.5267100789488849,0.5894529113254117,0.0025351109696324786
infographicvqa,4,x1+x2+x3+x5,True,0.00602649553793524,2.20840268170229e-06,0.008338025743897515,0.5466297854357557,0.602649553793524,0.000220840268170229
infographicvqa,4,x1+x2+x4+x5,True,0.006437390851726722,9.59364085856805e-06,0.008342301760297679,0.5521619700724177,0.6437390851726722,0.000959364085856805
infographicvqa,4,x1+x3+x4+x5,True,0.0060340777784541385,1.0814493539458916e-05,0.008333150776753204,0.5619393380587411,0.6034077778454139,0.0010814493539458916
infographicvqa,4,x2+x3+x4+x5,False,0.007326844136821527,3.3213285955615776e-05,0.008354217092271054,0.4011025951324459,0.7326844136821528,0.0033213285955615776
infographicvqa,5,x1+x2+x3+x4+x5,True,0.00642197697979613,4.932881963244651e-06,0.008347540883066636,0.5338173994890413,0.642197697979613,0.0004932881963244651
lego-puzzles,1,x1,True,0.09492420065390075,0.05275493705406629,0.19753545510845197,0.42572256395419533,9.492420065390075,5.275493705406629
lego-puzzles,1,x2,False,0.04440292888647474,0.013892055194380692,0.1975700241848946,0.4931464919011619,4.440292888647474,1.3892055194380692
lego-puzzles,1,x3,False,0.05218444999760402,0.020989644654798738,0.19201753234808833,0.5499536670146882,5.218444999760402,2.098964465479874
lego-puzzles,1,x4,False,0.05776835432676362,0.012097542522356848,0.19765547257157204,0.4910625558197165,5.776835432676362,1.2097542522356848
lego-puzzles,1,x5,False,0.04107266086384888,0.006866444239306327,0.1970921757412165,0.5164094242550032,4.107266086384888,0.6866444239306326
lego-puzzles,2,x1+x2,True,0.0877118526858976,0.024448375973717372,0.1979627384017212,0.4691246210548826,8.77118526858976,2.444837597371737
lego-puzzles,2,x1+x3,True,0.06482849843019768,0.04807340181673644,0.19271460634909254,0.5282757001312418,6.4828498430197685,4.807340181673644
lego-puzzles,2,x1+x4,True,0.08404030259564887,0.03210726115151834,0.19807023447135524,0.46512027707544523,8.404030259564887,3.2107261151518336
lego-puzzles,2,x1+x5,True,0.05351624980675072,0.004392045735084229,0.19744768104829533,0.5059310414229468,5.351624980675072,0.43920457350842296
lego-puzzles,2,x2+x3,False,0.05207045250519283,0.021242458228303656,0.19262029881334658,0.5494001870091534,5.207045250519283,2.124245822830366
lego-puzzles,2,x2+x4,False,0.045858142431525466,0.004406286480421727,0.1980774384578519,0.4936412694818672,4.585814243152546,0.4406286480421727
lego-puzzles,2,x2+x5,False,0.049654559060319625,0.024582432045941346,0.19744017039929826,0.5147070539349494,4.965455906031963,2.4582432045941345
lego-puzzles,2,x3+x4,False,0.04877269344923785,0.02172780210871252,0.19268240192574168,0.547840379720828,4.877269344923785,2.172780210871252
lego-puzzles,2,x3+x5,False,0.05054414864791746,0.015762841272082308,0.19198945974053877,0.6069369494027027,5.054414864791746,1.5762841272082309
lego-puzzles,2,x4+x5,False,0.05158460082814688,0.024003018885958006,0.19751274120877668,0.5116817825410602,5.158460082814688,2.4003018885958007
lego-puzzles,3,x1+x2+x3,True,0.07023113554316882,0.05851082782771266,0.1933546081386398,0.5358692780859655,7.023113554316882,5.8510827827712655
lego-puzzles,3,x1+x2+x4,True,0.09783871409512675,0.029082752803051146,0.19846492699763385,0.4660637089030613,9.783871409512674,2.908275280305115
lego-puzzles,3,x1+x2+x5,True,0.0559032315796658,0.03430682885209739,0.19788931653171912,0.5100506937368706,5.59032315796658,3.430682885209739
lego-puzzles,3,x1+x3+x4,True,0.06842611783756081,0.06255828061481768,0.19342260335514744,0.5302254592416484,6.84261178375608,6.255828061481767
lego-puzzles,3,x1+x3+x5,True,0.039526212833049114,0.019796393926158146,0.19205123375121458,0.5936534292698676,3.9526212833049112,1.9796393926158147
lego-puzzles,3,x1+x4+x5,True,0.05859523887610479,0.03308533351890168,0.19797288715998324,0.5044823494387628,5.859523887610479,3.308533351890168
lego-puzzles,3,x2+x3+x4,False,0.052674004975764604,0.01906094196405235,0.19312354390087236,0.547416883655987,5.26740049757646,1.906094196405235
lego-puzzles,3,x2+x3+x5,False,0.040216020532880294,0.014164979307041178,0.19265281513241636,0.5865168916227447,4.02160205328803,1.416497930704118
lego-puzzles,3,x2+x4+x5,False,0.04840817297433464,0.025415950241765253,0.19795573006907968,0.510968967382417,4.840817297433464,2.5415950241765253
lego-puzzles,3,x3+x4+x5,False,0.03568902718035946,0.01633172402677698,0.19270985216914124,0.5889530422531667,3.5689027180359463,1.633172402677698
lego-puzzles,4,x1+x2+x3+x4,True,0.06650179337259934,0.053623966862395345,0.19384751122363567,0.53219618350378,6.650179337259934,5.362396686239535
lego-puzzles,4,x1+x2+x3+x5,True,0.041345118599581905,0.02317056731544352,0.19271972718933847,0.5825251267343421,4.134511859958191,2.317056731544352
lego-puzzles,4,x1+x2+x4+x5,True,0.05315556931688055,0.03690059992374609,0.1983806486141447,0.5052580600525806,5.315556931688055,3.6900599923746094
lego-puzzles,4,x1+x3+x4+x5,True,0.04355219113263798,0.01987086408467551,0.19279274592616916,0.583397277046094,4.355219113263798,1.9870864084675512
lego-puzzles,4,x2+x3+x4+x5,False,0.04279925007240961,0.015609145928510856,0.19315036989160161,0.5835566121992024,4.279925007240961,1.5609145928510857
lego-puzzles,5,x1+x2+x3+x4+x5,True,0.03445719560484746,0.023931214413385273,0.193211765937546,0.5789275066983659,3.445719560484746,2.3931214413385273
mmbench,1,x1,True,0.04037372455937933,0.032730216908891975,0.19816357245501026,0.6228007286830817,4.037372455937933,3.2730216908891974
mmbench,1,x2,False,0.023430805888888087,0.0022540690455099084,0.19141732954460733,0.6130873048520107,2.343080588888809,0.22540690455099083
mmbench,1,x3,False,0.06716556821580662,0.000587322228945314,0.20444827334358637,0.48237017884076705,6.716556821580662,0.0587322228945314
mmbench,1,x4,False,0.042206938906864715,0.017028001416675324,0.19070606313318667,0.6201610154551331,4.220693890686471,1.7028001416675325
mmbench,1,x5,False,0.026871410213143654,0.0243020395249879,0.2025653176294296,0.5534089439971793,2.6871410213143654,2.43020395249879
mmbench,2,x1+x2,True,0.03686220614196634,0.03358228539749836,0.18744434439928614,0.6852171358053711,3.6862206141966345,3.3582285397498355
mmbench,2,x1+x3,True,0.03997224906547229,0.033942005880616494,0.19856003926301943,0.6230969030969031,3.997224906547229,3.3942005880616493
mmbench,2,x1+x4,True,0.039059358783713145,0.038480566759634724,0.18667281939874036,0.6874133709427827,3.9059358783713147,3.8480566759634725
mmbench,2,x1+x5,True,0.03812412162532294,0.03724258005417851,0.19813939594429686,0.6267226890756302,3.8124121625322944,3.7242580054178513
mmbench,2,x2+x3,False,0.0341833265579922,0.00247988009614973,0.19169326254514363,0.6123966229848583,3.41833265579922,0.247988009614973
