dataset,cardinality,subset,has_x1,ada_ece,ece,brier,auroc,ada_ece_percent,ece_percent
ai2d,3,x1+x3+x5,True,0.03739430819942331,0.03819390964305183,0.20333158421137432,0.7344117626313567,3.7394308199423314,3.819390964305183
ai2d,3,x1+x4+x5,True,0.04322566609980224,0.04214646322123322,0.20448179171281317,0.7302361574759354,4.322566609980224,4.214646322123322
ai2d,3,x2+x3+x4,False,0.07441477188036733,0.013065279161031371,0.23381125831551935,0.6092927367242661,7.441477188036733,1.3065279161031371
ai2d,3,x2+x3+x5,False,0.03468383057518487,0.015876056145503675,0.23360732535582768,0.6282532488404735,3.468383057518487,1.5876056145503674
ai2d,3,x2+x4+x5,False,0.017612450700607487,0.019905340690304703,0.23337589008135887,0.6299017261653455,1.7612450700607487,1.9905340690304703
ai2d,3,x3+x4+x5,False,0.044710757871051186,0.040192132929459015,0.23717085863554702,0.6262329572534514,4.471075787105119,4.019213292945902
ai2d,4,x1+x2+x3+x4,True,0.029427063645761642,0.03607458218763253,0.20331447635298738,0.7363746194949574,2.942706364576164,3.6074582187632527
ai2d,4,x1+x2+x3+x5,True,0.03704145127148662,0.03894525093479371,0.20367187131722397,0.7341659017100434,3.7041451271486623,3.8945250934793707
ai2d,4,x1+x2+x4+x5,True,0.04065945711241214,0.04518241788372369,0.20406861683433097,0.7339502695905307,4.065945711241214,4.518241788372369
ai2d,4,x1+x3+x4+x5,True,0.03630094404318184,0.038308090233342654,0.20377454785808888,0.732485180329917,3.630094404318184,3.8308090233342655
ai2d,4,x2+x3+x4+x5,False,0.03619085098844467,0.015220119823798518,0.23359805914480586,0.628073891283122,3.619085098844467,1.5220119823798517
ai2d,5,x1+x2+x3+x4+x5,True,0.0371004032019379,0.03753323523581794,0.20351071742451035,0.7350778038977017,3.71004032019379,3.753323523581794
chartqa,1,x1,True,0.04544034553135491,0.001665010977549977,0.07443319347821677,0.5954593879725212,4.544034553135491,0.1665010977549977
chartqa,1,x2,False,0.012837457617942886,0.008923276368379883,0.07360881518727955,0.6202580895097702,1.2837457617942887,0.8923276368379883
chartqa,1,x3,False,0.030723151932722396,0.003986588503960846,0.07488673837786529,0.5198559935344036,3.0723151932722397,0.3986588503960846
chartqa,1,x4,False,0.022112155442752326,0.005360403682180438,0.07377801758869038,0.6153387591799112,2.2112155442752326,0.5360403682180438
chartqa,1,x5,False,0.014836936888635584,0.002294877121000719,0.07478841580418065,0.5342733384318925,1.4836936888635583,0.22948771210007188
chartqa,2,x1+x2,True,0.03636997086438264,0.00857612798143252,0.07293041322125589,0.65526949447452,3.636997086438264,0.857612798143252
chartqa,2,x1+x3,True,0.03559744053382298,0.002816473259358959,0.07456018155365378,0.5789180145008366,3.559744053382298,0.2816473259358959
chartqa,2,x1+x4,True,0.02760981486003862,0.010896917046062032,0.07323579350728728,0.6458983872745307,2.760981486003862,1.0896917046062031
chartqa,2,x1+x5,True,0.021256499934928716,0.0035264660439368674,0.07423205099696685,0.6053948989917542,2.1256499934928716,0.3526466043936867
chartqa,2,x2+x3,False,0.025566911037015475,0.017356847497205428,0.0736619353480257,0.6366475081070431,2.5566911037015476,1.7356847497205428
chartqa,2,x2+x4,False,0.01838620253349106,0.007385520005959128,0.07366130106526149,0.6123380678687242,1.838620253349106,0.7385520005959127
chartqa,2,x2+x5,False,0.017884515604026357,0.011999799880343817,0.0735960558168446,0.6485383944882126,1.7884515604026356,1.1999799880343818
chartqa,2,x3+x4,False,0.018942152475810856,0.007673137186688912,0.07386442318671733,0.6167063530496175,1.8942152475810856,0.7673137186688912
chartqa,2,x3+x5,False,0.01714691451045555,0.0014075150161651777,0.07469680073442193,0.5589067264244517,1.7146914510455549,0.14075150161651778
