feature_dropped,feature_name,subset_minus_j,macro_ada_ece_minus_j,macro_delta_ada_ece,macro_delta_ece,macro_delta_brier,macro_delta_auroc,macro_auroc_minus_j
x5,Monotonicity Count,x1+x2+x3+x4,0.030553950950400376,0.0031404915892970617,0.0016327494127802568,0.00014828276456995342,-0.003187939786619901,0.7249392460914942
x3,Scale Entropy Slope,x1+x2+x4+x5,0.030350293322658706,0.0029368339615553885,0.0012442656147042665,0.000328652985441167,-0.003841821785686975,0.7242853640924272
x1,Final Logit,x2+x3+x4+x5,0.030043036336039212,0.0026295769749358905,-0.005025668027279739,0.011808616975455124,-0.09073352086980731,0.6373936650083069
x4,Answer Flip Frequency,x1+x2+x3+x5,0.02893818090541791,0.0015247215443145946,-0.001159422506130998,0.00031014420148365283,-8.87353577016446e-05,0.7280384505204127
x2,Discrete Answer Stability,x1+x3+x4+x5,0.0287925319200019,0.0013790725588985835,-0.0010907336845159263,-1.1910867325731222e-05,0.0011288953962839449,0.7292560812743981
