cardinality,n_subsets,best_subset,best_has_x1,best_ada_ece,best_ece,best_brier,best_auroc,worst_subset,worst_ada_ece,mean_ada_ece,std_ada_ece,min_ada_ece,max_ada_ece,mean_auroc,std_auroc
1,5,x5,False,0.024887733063684452,0.007704171285539542,0.15209735854463538,0.5439628360552609,x3,0.048723473456808386,0.03293746156083656,0.008830199582150157,0.024887733063684452,0.048723473456808386,0.5973080157624155,0.051543510685394305
2,10,x2+x4,False,0.024081878497676307,0.008453417115557721,0.14466175621952124,0.6027509720655778,x3+x4,0.038300976784262426,0.03132064432518887,0.004257450290140381,0.024081878497676307,0.038300976784262426,0.648310004148209,0.045946923401065876
3,10,x2+x4+x5,False,0.023314203082685225,0.013768074156868928,0.14343350325443383,0.6258751562161669,x1+x2+x4,0.032890727358145126,0.029677685448152823,0.002546786130294109,0.023314203082685225,0.032890727358145126,0.6786291338000263,0.036944406001536305
4,5,x2+x3+x4+x5,False,0.02747956069924436,0.01587091422943284,0.1411693226713795,0.6390715862971873,x1+x2+x3+x4,0.03149777289618409,0.028706940157156514,0.0015083882831524531,0.02747956069924436,0.03149777289618409,0.6982640379447407,0.029723202541153248
5,1,x1+x2+x3+x4+x5,True,0.02842374279500163,0.02199364424134121,0.1323552549849733,0.7142737220506962,x1+x2+x3+x4+x5,0.02842374279500163,0.02842374279500163,0.0,0.02842374279500163,0.02842374279500163,0.7142737220506962,0.0
