feature_dropped,feature_name,subset_minus_j,macro_ada_ece_minus_j,macro_delta_ada_ece,macro_delta_ece,macro_delta_brier,macro_delta_auroc,macro_auroc_minus_j
x1,Final Logit,x2+x3+x4+x5,0.03447047290941959,0.0024773812651396436,-0.0012849206580841776,0.011062529014633116,-0.05406671497291311,0.682098130984946
x3,Scale Entropy Slope,x1+x2+x4+x5,0.03329658595069612,0.001303494306416173,-0.0028815748204316224,0.0013297526795310818,-0.015674180183773152,0.7204906657740862
x2,Discrete Answer Stability,x1+x3+x4+x5,0.031153369737804408,-0.0008397219064755401,0.0008060667190532712,-0.00011971654258223292,0.0010393349822175166,0.7372041809400767
x4,Answer Flip Frequency,x1+x2+x3+x5,0.030494221643553216,-0.0014988700007267305,-8.704755825094045e-05,0.00010282200739911344,-0.0018056148413804682,0.7343592311164786
x5,Monotonicity Count,x1+x2+x3+x4,0.029315761058730384,-0.002677330585549561,-0.0010822991098037437,0.000263736771357431,-0.007708913997359346,0.7284559319604998
