ece,ece_percent,adaptive_ece,adaptive_ece_percent,kde_ece,brier,brier_gain,murphy_uncertainty,murphy_resolution,murphy_reliability,auroc,nll,aurc,prob_std,spearman_rho,status,dataset,temperature,method,study,base_slope_a0,mean_dynamic_slope,mean_effective_temp
0.05441924503401973,5.441924503401973,0.07140769334754032,7.140769334754032,0.04351277739969982,0.10032243365093692,0.025949184467376082,0.12627051532610198,0.032241078826262204,0.006427895576442456,0.816915995397008,0.33220660350766557,0.04749648316384893,0.15313934157589393,0.9939590425600109,VALID,pope,0.0,VCPS-5D (Refitted),temperature_tracking,0.8518738017893481,0.8491163939825492,1.182185522962197
0.051575826603052675,5.157582660305268,0.0552845524453099,5.52845524453099,0.04129063981094494,0.1825234291855686,0.05026671882298231,0.23278967748259974,0.05479627762612437,0.003693553806348833,0.779470983024082,0.5299668519049404,0.1456101407396588,0.24343967450367893,0.9969119572505806,VALID,scienceqa,0.0,VCPS-5D (Refitted),temperature_tracking,0.4016329385691742,0.40324735188765526,2.4840100809206884
0.06129878684215089,6.129878684215089,0.07228684270054192,7.228684270054192,0.04915546634591358,0.19579478139421844,0.03346946860578154,0.229264,0.04061433179510961,0.006195552951407522,0.7293949333519436,0.5728359254730592,0.17954516509373455,0.2071071500952148,0.9681420805683222,VALID,textvqa,0.0,VCPS-5D (Refitted),temperature_tracking,0.3448997747498984,0.350222435800229,2.9711533940584345
0.06073560185065278,6.073560185065277,0.0562087016451914,5.62087016451914,0.0333360422042187,0.1471132003588433,0.034243049641156764,0.181356,0.04271463465058805,0.009112879684662109,0.8035245594300713,0.452054313280732,0.09171840929156361,0.2114207833750009,0.9995984303744461,VALID,vizwiz-vqa,0.0,VCPS-5D (Refitted),temperature_tracking,0.7141430498499739,0.7122469041256004,1.4070193065591179
0.03360478523471355,3.3604785234713552,0.060614236117560644,6.061423611756064,0.03811046091427112,0.10031933460521553,0.02595694349577185,0.12627051532610198,0.030111746037899692,0.0029735121009311725,0.8163406214039127,0.3336667793385781,0.047595422735770526,0.1520910769921718,0.9900969181995045,VALID,pope,0.3,VCPS-5D (Refitted),temperature_tracking,0.25496841418938,0.25432814229932793,3.9385688189328745
0.0870725720369476,8.707257203694759,0.07913466313619603,7.913466313619604,0.049897278726740435,0.187419526947401,0.04664827994144505,0.23406406234682875,0.05675679315928811,0.010505996852987287,0.7731591759809439,0.5515223808103841,0.16552391240322456,0.23548396510349917,0.9618368305154237,VALID,scienceqa,0.3,VCPS-5D (Refitted),temperature_tracking,0.1636077867092498,0.1649945463943656,6.149443071012775
0.06705390268531386,6.705390268531386,0.0756716828990526,7.56716828990526,0.051856068789325915,0.19478946072005732,0.035062539279942656,0.22983599999999998,0.03975680596757352,0.006211740356494843,0.723959692998486,0.5761020670313256,0.204524007783374,0.19565835582757113,0.930594192362549,VALID,textvqa,0.3,VCPS-5D (Refitted),temperature_tracking,0.13341242512603813,0.134964513086893,7.745127764084838
0.05780277704891803,5.780277704891803,0.05921190429923621,5.92119042992362,0.035920269945633125,0.15150892250187406,0.027736077498125955,0.17924400000000001,0.03752512146559525,0.011194906599373802,0.766619803173328,0.4674385842102204,0.10323879047140914,0.18504544407419096,0.9929695266419544,VALID,vizwiz-vqa,0.3,VCPS-5D (Refitted),temperature_tracking,0.20916376588151056,0.20903059711863278,4.8078223475442465
0.054935448337557855,5.493544833755785,0.06877367543505981,6.877367543505981,0.047836965242386155,0.10919908956856275,0.0300083430605457,0.1391881779411658,0.03542342747446369,0.0058677393986865806,0.8179872638062426,0.35562168439377645,0.05409609482687514,0.17432013658419046,0.9962027531153366,VALID,pope,0.6,VCPS-5D (Refitted),temperature_tracking,0.5288800747468279,0.5269164477839308,1.9023396481298909
0.058572698291208314,5.857269829120831,0.07028690142640238,7.028690142640238,0.04412975326572925,0.18433909612235888,0.04845105188619203,0.23278967748259974,0.05484463538940446,0.006114160222708336,0.7756020529016976,0.534484637128037,0.14864477307289037,0.24233092354157382,0.994335711706929,VALID,scienceqa,0.6,VCPS-5D (Refitted),temperature_tracking,0.23568972096876856,0.23648475478293718,4.236439004211866
0.06330277154142257,6.330277154142257,0.0702120829572026,7.02120829572026,0.03722822655215338,0.18100598806392856,0.039500261936071424,0.22041599999999997,0.04645104542979851,0.007715661467980072,0.7476952671312426,0.5413961123073961,0.15642709434189683,0.20889285074703212,0.934367308867776,VALID,textvqa,0.6,VCPS-5D (Refitted),temperature_tracking,0.19302473875488158,0.19890766599236645,5.398825926297526
0.0552201753329327,5.52201753329327,0.06465592797514794,6.465592797514794,0.03239683556559047,0.14190024183683916,0.03411575816316084,0.176016,0.03951371122129983,0.006692245647468071,0.8041541678029269,0.4410303145543566,0.0849537180351839,0.19898580828619236,0.9942552884696662,VALID,vizwiz-vqa,0.6,VCPS-5D (Refitted),temperature_tracking,0.3901992860781281,0.3906652812978762,2.582660025267295
0.04201830598314249,4.201830598314249,0.050141101982986984,5.014110198298698,0.02711448205154538,0.12547341181442992,0.03265740921377286,0.15804883719240634,0.034293026117686004,0.003122784398931345,0.8108393858600718,0.3925085874348683,0.06632702200805639,0.17851765870861078,0.9936225272121213,VALID,pope,1.0,VCPS-5D (Refitted),temperature_tracking,0.8058914593804728,0.8048517533810521,1.2461095234496302
0.05593826180510217,5.5938261805102165,0.05761225583734651,5.761225583734651,0.04045955469074811,0.18340069593016603,0.05255683721343932,0.23588373688854034,0.055815141089995496,0.0044102239031311215,0.7822077922077922,0.5320708660175906,0.14658622844909536,0.24690538721233138,0.9932829587848201,VALID,scienceqa,1.0,VCPS-5D (Refitted),temperature_tracking,0.40987435223896,0.4114416527189415,2.4341543805249457
0.05428738006779107,5.428738006779107,0.06114632190073577,6.114632190073577,0.03474709918127374,0.14886237191654506,0.049937628083454894,0.198016,0.05417110665942729,0.005203622501650997,0.7906229799612152,0.4638626302634235,0.1091019590929912,0.20769883748675702,0.9637015828063311,VALID,textvqa,1.0,VCPS-5D (Refitted),temperature_tracking,0.3149185666239314,0.32314138552051225,3.276425574573635
0.05959098360505545,5.959098360505545,0.05397367009332841,5.397367009332841,0.03853747789880824,0.125378658187348,0.03710534181265204,0.162384,0.04452608190241691,0.007572153858640054,0.8327914080204947,0.39197533045132854,0.060119495160698797,0.21778733201074552,0.997403669490054,VALID,vizwiz-vqa,1.0,VCPS-5D (Refitted),temperature_tracking,0.7809573669342464,0.7805091364667383,1.2937535220516199
0.06453183967090158,6.453183967090157,0.07468271456856648,7.468271456856648,0.038355993097134645,0.14879155386423273,0.03777099505859602,0.18511925952296188,0.042928028634863356,0.007798477365147269,0.8015698587127158,0.44745701266120863,0.08931864648819439,0.16021200568014587,0.9866768326463845,VALID,pope,1.5,VCPS-5D (Refitted),temperature_tracking,0.9238250663024021,0.9219617280721704,1.0948982940610426
0.07774801462280125,7.7748014622801245,0.08205126213423806,8.205126213423807,0.06953197210801353,0.18748689909827485,0.048398603845649396,0.23588373688854034,0.05826522223595463,0.009715664539880955,0.7764935064935066,0.5400596106463658,0.148069211430535,0.25687967995541944,0.9987140814991341,VALID,scienceqa,1.5,VCPS-5D (Refitted),temperature_tracking,0.6202624596622223,0.6212560266178846,1.612839769499238
0.062301834644231904,6.230183464423191,0.06636598103244702,6.636598103244702,0.05230213486005881,0.13162378525890414,0.026462464741095842,0.156364,0.03098094830492485,0.007447005038396208,0.7687447238494794,0.41523179467607146,0.07464995009006903,0.2075227474291907,0.9777911751647006,VALID,textvqa,1.5,VCPS-5D (Refitted),temperature_tracking,0.5765102738499017,0.5848186890800228,1.8129985274720062
0.04947825779934584,4.9478257799345835,0.034249101388537144,3.4249101388537144,0.032563436437997514,0.09623815949593058,0.029938840504069433,0.12609599999999999,0.03649230906572371,0.006482800261720578,0.8662923486867149,0.3062553722412259,0.03437761641312652,0.18304324802383623,0.9996270384902517,VALID,vizwiz-vqa,1.5,VCPS-5D (Refitted),temperature_tracking,1.0882200258968895,1.0877872210291735,0.9197425816401688
