ece,ece_percent,adaptive_ece,adaptive_ece_percent,kde_ece,brier,brier_gain,murphy_uncertainty,murphy_resolution,murphy_reliability,auroc,nll,aurc,prob_std,spearman_rho,status,dataset,temperature,method,study
0.07039790301310085,7.039790301310085,0.06183339579086097,6.183339579086097,0.046161252146322974,0.10299302327987161,0.023278594838441385,0.12627051532610198,0.03288406499441816,0.00947698696556437,0.8178365937859609,0.3476106634063233,0.04714147353847388,0.13098336354434265,1.0,VALID,pope,0.0,Naive Confidence (NC),temperature_transfer
0.05859337982927568,5.859337982927568,0.05435905289118204,5.435905289118204,0.040648233273573364,0.1014166874763404,0.024854930641972597,0.12627051532610198,0.032302259891168146,0.007909271251562143,0.8178365937859609,0.3328331586461022,0.04714147353847388,0.13559901160147433,1.0,VALID,pope,0.0,Temperature Scaling (TS),temperature_transfer
0.043716629354183224,4.371662935418322,0.047928817753511786,4.792881775351178,0.03895394512834157,0.10069843840568553,0.025573179712627472,0.12627051532610198,0.027853468367697694,0.0028790025262758704,0.8178365937859609,0.3319488650853988,0.04668026789710788,0.1525409521526132,1.0,VALID,pope,0.0,Platt Scaling (1D),temperature_transfer
0.03848508583169868,3.8485085831698678,0.055457680655244986,5.5457680655244985,0.040924470382195474,0.10025654247350817,0.026015075644804833,0.12627051532610198,0.02966963223895605,0.004182650767941347,0.8205408515535098,0.3306576622921638,0.04674509933495757,0.14996138977439455,0.991851704499864,VALID,pope,0.0,Trajectory LR,temperature_transfer
0.05725198716901474,5.725198716901474,0.058074813148096475,5.807481314809648,0.04257900903803068,0.10095532383989968,0.025316294278413323,0.12627051532610198,0.030846750205325957,0.006862156120850024,0.8198504027617951,0.3317069532805111,0.046734168442745486,0.14598686481748413,0.9932484108015626,VALID,pope,0.0,Trajectory LR (No Bias),temperature_transfer
0.04100239317050838,4.100239317050838,0.05093569455121083,5.093569455121083,0.04144928376190699,0.10029761957494882,0.025973998543364185,0.12627051532610198,0.029627140565027292,0.0045101248671758085,0.819620253164557,0.33080217919771,0.04697088693773493,0.1490446674180891,0.992474564776242,VALID,pope,0.0,Trajectory Platt (5D),temperature_transfer
0.04207019391406901,4.2070193914069005,0.042100078172760826,4.210007817276082,0.042216193501933015,0.09677586864522597,0.02949574947308703,0.12627051532610198,0.030952567951228707,0.003471585354273191,0.8258918296892981,0.322795833937654,0.04445189383411613,0.16169982138609,0.9799098479955447,VALID,pope,0.0,Trajectory Platt (17D),temperature_transfer
0.04543325332368377,4.543325332368377,0.0491409070869269,4.91409070869269,0.03945190456685157,0.10105004642917773,0.025221571689135275,0.12627051532610198,0.027158580676532075,0.0030749705253536163,0.8178365937859609,0.33296395486362823,0.04680311257837278,0.151068765429257,1.0,VALID,pope,0.0,Quadratic Platt (Logit-Only),temperature_transfer
0.053967733108952795,5.39677331089528,0.06416850810616985,6.416850810616985,0.05257202620501955,0.10433034753075883,0.02194127058755417,0.12627051532610198,0.02515897442866539,0.004978070119269022,0.8178365937859609,0.3398801169854424,0.04715602372848051,0.12392947765675029,1.0,VALID,pope,0.0,Spline Calibration (PCHIP),temperature_transfer
0.05629725016534254,5.629725016534254,0.06046481551424535,6.046481551424535,0.0422251823422798,0.10141213714683106,0.02485948097148194,0.12627051532610198,0.03439288678077754,0.009233327434190926,0.8150747986191025,0.3332641002440656,0.048258944041345474,0.13525375185735322,0.9979061742831508,VALID,pope,0.0,Adaptive TS (ATS),temperature_transfer
