ece,ece_percent,adaptive_ece,adaptive_ece_percent,kde_ece,brier,brier_gain,murphy_uncertainty,murphy_resolution,murphy_reliability,auroc,nll,aurc,prob_std,spearman_rho,status,test_dataset,method,transfer_mode
0.4209579098719277,42.09579098719277,0.42095790987192766,42.095790987192764,0.41553559436120846,0.4209402369091084,-0.1642945914934832,0.243759,0.0,0.177205561883742,0.6377000438958151,5.554064340034974,0.3205638670458862,0.0007812258642559885,1.0,COLLAPSED,ai2d,Naive Confidence (NC),Zero-Shot Base
0.4209999000000003,42.099990000000034,0.42099990000000026,42.09999000000003,0.4209999000000003,0.42099991580001006,-0.16435427038438483,0.243759,0.0,0.17724091580001028,0.5,6.7857183271750525,0.44538976149800025,2.220446049250313e-16,1.0,COLLAPSED,ai2d,Naive Confidence (NC),Target Adapted (Saerens-EM)
0.08604618134540123,8.604618134540123,0.10618746437748494,10.618746437748495,0.09103570595663056,0.24644383045714693,0.0102018149584783,0.243759,0.009260716157132922,0.013172314029315766,0.6377000438958151,0.6862631802059411,0.3205638670458862,0.023927061637423475,1.0,VALID,ai2d,Temperature Scaling (TS),Zero-Shot Base
0.4209998055064553,42.09998055064553,0.4209998055064555,42.09998055064555,0.4209998055064553,0.420999831530497,-0.1643541861148718,0.243759,0.0,0.17724083623647321,0.6377000438958151,6.496295986211816,0.3205638670458862,2.164274729648796e-08,1.0,COLLAPSED,ai2d,Temperature Scaling (TS),Target Adapted (Saerens-EM)
0.08550920059904978,8.550920059904978,0.09841103402458462,9.841103402458462,0.08713268102064375,0.24259049257293475,0.014055152842690488,0.243759,0.009482364805705855,0.010360110699466952,0.6377000438958151,0.6781041780424273,0.3205301262343939,0.04945184035173714,1.0,VALID,ai2d,Platt Scaling (1D),Zero-Shot Base
0.4209997369786377,42.09997369786377,0.4209997369786377,42.09997369786377,0.4209997369786377,0.42099976516898585,-0.16435411975336062,0.243759,0.0,0.1772407785360821,0.6377000438958151,6.364975311356261,0.3205638670458862,6.355802743516831e-08,1.0,COLLAPSED,ai2d,Platt Scaling (1D),Target Adapted (Saerens-EM)
0.09046168423376706,9.046168423376706,0.08795907957701,8.795907957701,0.07527087195396667,0.23501218674622096,0.021633458669404276,0.243759,0.02038803360715579,0.012935370441263897,0.6634119150472393,0.6624984742077732,0.30364065849690824,0.1445844798871096,0.7123740907655903,VALID,ai2d,Trajectory LR,Zero-Shot Base
0.42099924268529487,42.099924268529485,0.42099924268529476,42.09992426852948,0.42099924268529487,0.4209992528285701,-0.16435360741294486,0.243759,0.0,0.1772403623415918,0.6634119150472393,5.961103192340794,0.2963003760985523,6.411619194294794e-07,1.0,COLLAPSED,ai2d,Trajectory LR,Target Adapted (Saerens-EM)
0.09851135517692862,9.851135517692862,0.09518701815156805,9.518701815156804,0.08108302682593642,0.23619808863969133,0.020447556775933906,0.243759,0.020824372882761774,0.013551157689103742,0.6617032601873162,0.665059051143721,0.3139080064438926,0.14319010251596043,0.6977314256595806,VALID,ai2d,Trajectory LR (No Bias),Zero-Shot Base
0.42099897709056755,42.099897709056755,0.42099897709056766,42.09989770905677,0.4152528671186831,0.42099898824139587,-0.16435334282577063,0.243759,0.0,0.17724013871130423,0.6617032601873162,5.845349409039805,0.2986618874541325,1.0090721491680792e-06,0.6977314256595806,COLLAPSED,ai2d,Trajectory LR (No Bias),Target Adapted (Saerens-EM)
0.09045888496935366,9.045888496935365,0.0879511625021696,8.79511625021696,0.07525848926906509,0.23501121459451974,0.0216344308211055,0.243759,0.02038803360715579,0.012933951836352355,0.6634155046582896,0.6624966574474833,0.3045390667075311,0.14459332015389162,0.7123680871441938,VALID,ai2d,Trajectory Platt (5D),Zero-Shot Base
0.42099924010453704,42.099924010453705,0.42099924010453676,42.09992401045368,0.42099924010453704,0.4209992502799057,-0.16435360486428047,0.243759,0.0,0.17724036016859762,0.6634155046582896,5.95967731827784,0.29862865405158817,6.433496628977022e-07,1.0,COLLAPSED,ai2d,Trajectory Platt (5D),Target Adapted (Saerens-EM)
0.08571079458296302,8.571079458296301,0.08644141556322577,8.644141556322577,0.08419409337776897,0.23520346377755896,0.02144218163806627,0.243759,0.02173105762580371,0.013341435291025787,0.662334518930583,0.6632725219828454,0.29870410369278233,0.1600458902421169,0.7055467877332614,VALID,ai2d,Trajectory Platt (17D),Zero-Shot Base
0.42099898044358275,42.09989804435828,0.42099898044358275,42.09989804435828,0.42099898044358275,0.42099897764511796,-0.16435333222949272,0.243759,0.0,0.17724014153453618,0.662334518930583,5.846233436885377,0.3013203900582626,9.424115314073085e-07,1.0,COLLAPSED,ai2d,Trajectory Platt (17D),Target Adapted (Saerens-EM)
0.11531610207822754,11.531610207822753,0.11218512476553859,11.218512476553858,0.10362012001476334,0.24023509884432587,0.016410546571299367,0.243759,0.019245776728156506,0.016349102611060155,0.6640077904815822,0.6727143439336033,0.29857069777601314,0.0652684523927654,0.8806578467163608,VALID,ai2d,Best 5D Trajectory,Zero-Shot Base
0.42099982157796223,42.09998215779622,0.42099982157796234,42.099982157796234,0.42099982157796223,0.42099983632296495,-0.16435419090733971,0.243759,0.0,0.17724084976867605,0.6640077904815822,6.52371820795617,0.29877313721688703,5.804776994232524e-08,1.0,COLLAPSED,ai2d,Best 5D Trajectory,Target Adapted (Saerens-EM)
0.11531610207822754,11.531610207822753,0.11218512476553859,11.218512476553858,0.10362012001476334,0.24023509884432587,0.016410546571299367,0.243759,0.019245776728156506,0.016349102611060155,0.6640077904815822,0.6727143439336033,0.29857069777601314,0.0652684523927654,0.8806578467163608,VALID,ai2d,Two-Stage Residual,Zero-Shot Base
0.42099982157796223,42.09998215779622,0.42099982157796234,42.099982157796234,0.42099982157796223,0.42099983632296495,-0.16435419090733971,0.243759,0.0,0.17724084976867605,0.6640077904815822,6.52371820795617,0.29877313721688703,5.804776994232524e-08,1.0,COLLAPSED,ai2d,Two-Stage Residual,Target Adapted (Saerens-EM)
0.10349115501093262,10.349115501093262,0.10138983863207289,10.138983863207288,0.09469564350065178,0.23730442237183133,0.019341223043793904,0.243759,0.019295661779914094,0.01388826065383736,0.6653185113165052,0.6664467615777738,0.29781714760864836,0.07570031863808462,0.8200419296877894,VALID,ai2d,VCPS-5D (Our Method),Zero-Shot Base
0.4209997983848712,42.09997983848712,0.42099979838487095,42.099979838487094,0.4209997983848712,0.42099981271775805,-0.16435416730213281,0.243759,0.0,0.17724083024010223,0.6653185113165052,6.472002188040154,0.2980522057946263,7.479499778814091e-08,1.0,COLLAPSED,ai2d,VCPS-5D (Our Method),Target Adapted (Saerens-EM)
0.10657194098297226,10.657194098297227,0.10236370010449496,10.236370010449496,0.09512797405838283,0.2370079932135376,0.01963765220208763,0.243759,0.021075961442274832,0.014733328549249683,0.6659533596708225,0.6657903157000036,0.2974291482680554,0.07502560125868606,0.828364578929843,VALID,ai2d,VCPS-17D (Our Method),Zero-Shot Base
0.4209997706785076,42.09997706785076,0.4209997706785075,42.09997706785075,0.4209997706785076,0.4209997871269709,-0.16435414171134566,0.243759,0.0,0.17724080691135596,0.665915925155584,6.417482198509979,0.2978441324421771,8.394125748608639e-08,1.0,COLLAPSED,ai2d,VCPS-17D (Our Method),Target Adapted (Saerens-EM)
0.7142991335301779,71.4299133530178,0.714299133530178,71.42991335301781,0.6846628208112834,0.6214331652812531,-0.36626564944903367,0.08799375,0.005140849977247329,0.5396651779256441,0.7994246750479438,2.909320524789077,0.7686270248644107,0.22303334551302612,1.0,COLLAPSED,chartqa,Naive Confidence (NC),Zero-Shot Base
0.9024997891711223,90.24997891711223,0.9024997891711223,90.24997891711223,0.9024997891711223,0.9024996049171068,-0.6473320890848873,0.08799375,0.0,0.8145058694539201,0.6520491512181263,14.138495947689142,0.8844211672814299,2.5548828635411403e-07,1.0,COLLAPSED,chartqa,Naive Confidence (NC),Target Adapted (Saerens-EM)
0.4436658965944686,44.36658965944686,0.44366589659446853,44.36658965944685,0.4436658966052016,0.2777667588162006,-0.022599242983981138,0.08799375,0.011554691443544393,0.20232253234376382,0.7994246750479438,0.7491261932016059,0.7686270248644107,0.04046104125935571,1.0,COLLAPSED,chartqa,Temperature Scaling (TS),Zero-Shot Base
0.9024941598097529,90.24941598097529,0.9024941598097528,90.24941598097527,0.9024941598097529,0.9024892722706703,-0.6473217564384508,0.08799375,0.0,0.8144957084907118,0.7994246750479438,10.869652983096804,0.7915775989466804,8.981945383798171e-07,1.0,COLLAPSED,chartqa,Temperature Scaling (TS),Target Adapted (Saerens-EM)
0.34195386737645866,34.19538673764587,0.34195386737645866,34.19538673764587,0.3419538673764607,0.19469272546589372,0.06047479036632575,0.08799375,0.013054965555026438,0.12002781600018157,0.7994246750479438,0.5807168899439975,0.09843129753169376,0.06951727632391701,1.0,VALID,chartqa,Platt Scaling (1D),Zero-Shot Base
0.09749714756981691,9.74971475698169,0.09749714756981691,9.74971475698169,0.09749714756981691,0.0974992322460775,0.157668283586142,0.08799375,0.0,0.009505693784250655,0.7994246750479438,1.218395150888713,0.03810360491893813,9.377404760439948e-07,1.0,COLLAPSED,chartqa,Platt Scaling (1D),Target Adapted (Saerens-EM)
0.24682466521917656,24.682466521917657,0.2468246652191765,24.68246652191765,0.24848702960113428,0.16105602755076803,0.09411148828145144,0.08799375,0.005361370879945478,0.07849996863415853,0.6963079764187797,0.4907160970332593,0.10579839279438787,0.18645208414934264,0.517458371582391,VALID,chartqa,Trajectory LR,Zero-Shot Base
0.09749891116775629,9.749891116775629,0.09749891116775629,9.749891116775629,0.09175185871226697,0.0974996713348331,0.15766784449738636,0.08799375,0.0,0.009506037678898032,0.6963363875275231,1.3238661750430556,0.04975177894221763,1.063922893734845e-06,0.5173949050697829,COLLAPSED,chartqa,Trajectory LR,Target Adapted (Saerens-EM)
0.24970671020593382,24.970671020593382,0.2497067102059339,24.97067102059339,0.25162192107492487,0.16354447212673315,0.09162304370548632,0.08799375,0.0055629410412459486,0.0815822617383217,0.6937879110732297,0.4956322048632793,0.11143148414151957,0.18914240101954877,0.4926771976343693,VALID,chartqa,Trajectory LR (No Bias),Zero-Shot Base
0.09749865986224407,9.749865986224407,0.09749865986224407,9.749865986224407,0.09175235802055519,0.09749960134243038,0.1576679144897891,0.08799375,0.0,0.009505988674933562,0.693775126074295,1.304640009898927,0.05037134306816084,1.3309390831074443e-06,0.4926812068316683,COLLAPSED,chartqa,Trajectory LR (No Bias),Target Adapted (Saerens-EM)
0.24683882788103076,24.683882788103077,0.2468388278810308,24.68388278810308,0.2485008797731342,0.1610659525586741,0.09410156327354538,0.08799375,0.005361370879945478,0.07850747252975877,0.6962966119752824,0.49073897775581643,0.10581002158146452,0.1864520363048688,0.5173956940648178,VALID,chartqa,Trajectory Platt (5D),Zero-Shot Base
0.09749890911514282,9.749890911514282,0.0974989091151428,9.749890911514282,0.0917518634529013,0.09749967074011014,0.15766784509210935,0.08799375,0.0,0.00950603727864288,0.6963250230840259,1.3236885327854089,0.04975055063461734,1.065907112384747e-06,0.5173322266632666,COLLAPSED,chartqa,Trajectory Platt (5D),Target Adapted (Saerens-EM)
0.215876010676162,21.5876010676162,0.21821819863958808,21.821819863958808,0.22350489372376192,0.14970188276629193,0.10546563306592754,0.08799375,0.004880672000581597,0.06665293705863652,0.6885489026209248,0.46316108571787323,0.09391203029514619,0.19440861010209867,0.45316327005565193,VALID,chartqa,Trajectory Platt (17D),Zero-Shot Base
0.09749917816935218,9.749917816935218,0.09749917816935216,9.749917816935216,0.09749917816935218,0.09749974923569649,0.15766776659652298,0.08799375,0.0,0.00950608974369908,0.6887477803821295,1.3556462760156405,0.053323525034916414,8.73843850594168e-07,1.0,COLLAPSED,chartqa,Trajectory Platt (17D),Target Adapted (Saerens-EM)
0.3101126018234918,31.011260182349183,0.3101126018234918,31.011260182349183,0.31011260182349365,0.17439431259036803,0.08077320324185144,0.08799375,0.012132755376437106,0.09897587010829371,0.7810043326940833,0.536565659086087,0.07138574522636824,0.09393155042670603,0.8588172285408806,VALID,chartqa,Best 5D Trajectory,Zero-Shot Base
0.09749844233665446,9.749844233665446,0.09749844233665446,9.749844233665446,0.09749844233665446,0.09749954525641598,0.1576679705758035,0.08799375,0.0,0.009505946258073935,0.7810043326940833,1.2733067896392463,0.039474392894137594,7.052735600940387e-07,1.0,COLLAPSED,chartqa,Best 5D Trajectory,Target Adapted (Saerens-EM)
0.3101126018234918,31.011260182349183,0.3101126018234918,31.011260182349183,0.31011260182349365,0.17439431259036803,0.08077320324185144,0.08799375,0.012132755376437106,0.09897587010829371,0.7810043326940833,0.536565659086087,0.07138574522636824,0.09393155042670603,0.8588172285408806,VALID,chartqa,Two-Stage Residual,Zero-Shot Base
0.09749844233665446,9.749844233665446,0.09749844233665446,9.749844233665446,0.09749844233665446,0.09749954525641598,0.1576679705758035,0.08799375,0.0,0.009505946258073935,0.7810043326940833,1.2733067896392463,0.039474392894137594,7.052735600940387e-07,1.0,COLLAPSED,chartqa,Two-Stage Residual,Target Adapted (Saerens-EM)
0.3093413344537659,30.934133445376588,0.30934133445376594,30.934133445376595,0.30934133445376777,0.17407245422349285,0.08109506160872662,0.08799375,0.012120409293460936,0.09825648085644596,0.7752936998366362,0.5361261484504678,0.07114724649168963,0.09169608306069485,0.831374701346682,VALID,chartqa,VCPS-5D (Our Method),Zero-Shot Base
0.09749824317612774,9.749824317612774,0.09749824317612774,9.749824317612774,0.09749824317612774,0.09749949104406098,0.1576680247881585,0.08799375,0.0,0.009505907422431339,0.7752936998366362,1.2624644662792568,0.04020113851373443,7.891505131348052e-07,1.0,COLLAPSED,chartqa,VCPS-5D (Our Method),Target Adapted (Saerens-EM)
0.30198327179514445,30.198327179514443,0.3019832717951445,30.19832717951445,0.3019832718497076,0.17171726108575347,0.083450254746466,0.08799375,0.010832007659895945,0.0945801431888818,0.7691228070175439,0.528897475143803,0.07595105259630662,0.10737026019934068,0.8024096969756188,VALID,chartqa,VCPS-17D (Our Method),Zero-Shot Base
0.09749853139301383,9.749853139301383,0.09749853139301383,9.749853139301383,0.09749853139301383,0.09749957085928083,0.15766794497293862,0.08799375,0.0,0.009505963623794503,0.7691228070175439,1.2801086919098839,0.042351856937514185,7.194852254925443e-07,1.0,COLLAPSED,chartqa,VCPS-17D (Our Method),Target Adapted (Saerens-EM)
0.7399872694052756,73.99872694052756,0.7399872694052757,73.99872694052758,0.6985237997150663,0.6348384323786115,-0.37496913153632633,0.043884,0.001663254542740932,0.5928854584875325,0.796867878953605,2.711904971258965,0.8637171760163492,0.24423390483781157,1.0,COLLAPSED,docvqa,Naive Confidence (NC),Zero-Shot Base
